Biological Process,Sample 1 Biological Process Count,Sample 2 Biological Process Count
http://purl.obolibrary.org/obo/GO_0006468,14260,15291
http://purl.obolibrary.org/obo/GO_0008152,101450,113517
http://purl.obolibrary.org/obo/GO_0055085,33225,36630
http://purl.obolibrary.org/obo/GO_0000160,14247,15315
http://purl.obolibrary.org/obo/GO_0006810,41990,46279
http://purl.obolibrary.org/obo/GO_0055114,140626,156656
http://purl.obolibrary.org/obo/GO_0009058,20162,22289
http://purl.obolibrary.org/obo/GO_0009190,6369,5220
http://purl.obolibrary.org/obo/GO_0035556,6379,5223
http://purl.obolibrary.org/obo/GO_0015074,19098,23340
http://purl.obolibrary.org/obo/GO_0006310,9979,10200
http://purl.obolibrary.org/obo/GO_0007165,6817,7087
http://purl.obolibrary.org/obo/GO_0006355,23124,24263
http://purl.obolibrary.org/obo/GO_0006418,13287,15579
http://purl.obolibrary.org/obo/GO_0006313,14831,20200
http://purl.obolibrary.org/obo/GO_0006352,7716,7964
http://purl.obolibrary.org/obo/GO_0006749,2453,2746
http://purl.obolibrary.org/obo/GO_0015031,3800,3832
http://purl.obolibrary.org/obo/GO_0006508,20068,23115
http://purl.obolibrary.org/obo/GO_0006812,4211,4507
http://purl.obolibrary.org/obo/GO_0005975,15075,17014
http://purl.obolibrary.org/obo/GO_0006807,6311,6774
http://purl.obolibrary.org/obo/GO_0009060,1758,2025
http://purl.obolibrary.org/obo/GO_0009116,3115,3468
http://purl.obolibrary.org/obo/GO_0006260,7660,9465
http://purl.obolibrary.org/obo/GO_0007155,1696,2257
http://purl.obolibrary.org/obo/GO_0006529,1586,1887
http://purl.obolibrary.org/obo/GO_0006537,1737,1793
http://purl.obolibrary.org/obo/GO_0015696,1607,1943
http://purl.obolibrary.org/obo/GO_0006265,4858,5810
http://purl.obolibrary.org/obo/GO_0043039,2666,3122
http://purl.obolibrary.org/obo/GO_0006546,1709,1986
http://purl.obolibrary.org/obo/GO_0046854,1580,1737
http://purl.obolibrary.org/obo/GO_0006855,1165,1469
http://purl.obolibrary.org/obo/GO_0015992,2004,2446
http://purl.obolibrary.org/obo/GO_0006351,8559,9817
http://purl.obolibrary.org/obo/GO_0006950,1537,1828
http://purl.obolibrary.org/obo/GO_0006629,3083,3433
http://purl.obolibrary.org/obo/GO_0003333,1209,1305
http://purl.obolibrary.org/obo/GO_0001522,1966,2430
http://purl.obolibrary.org/obo/GO_0009451,2490,3000
http://purl.obolibrary.org/obo/GO_0006419,1273,1470
http://purl.obolibrary.org/obo/GO_0006631,2177,2539
http://purl.obolibrary.org/obo/GO_0016310,2754,3077
http://purl.obolibrary.org/obo/GO_0042558,1235,1330
http://purl.obolibrary.org/obo/GO_0045454,2436,2642
http://purl.obolibrary.org/obo/GO_0051301,1298,1471
http://purl.obolibrary.org/obo/GO_0008299,1504,1824
http://purl.obolibrary.org/obo/GO_0015833,1129,1237
http://purl.obolibrary.org/obo/GO_0006306,1959,3286
http://purl.obolibrary.org/obo/GO_0006284,2106,2299
http://purl.obolibrary.org/obo/GO_0017038,1662,1949
http://purl.obolibrary.org/obo/GO_0000413,1063,1214
http://purl.obolibrary.org/obo/GO_0006457,3429,4144
http://purl.obolibrary.org/obo/GO_0019752,1396,1558
http://purl.obolibrary.org/obo/GO_0006396,3136,3673
http://purl.obolibrary.org/obo/GO_0006520,4532,5447
http://purl.obolibrary.org/obo/GO_0006614,1860,1950
http://purl.obolibrary.org/obo/GO_0006730,1096,1251
http://purl.obolibrary.org/obo/GO_0000105,2803,2959
http://purl.obolibrary.org/obo/GO_0008033,2807,3383
http://purl.obolibrary.org/obo/GO_0006836,818,926
http://purl.obolibrary.org/obo/GO_0006814,2362,2792
http://purl.obolibrary.org/obo/GO_0032328,825,973
http://purl.obolibrary.org/obo/GO_0017000,873,1026
http://purl.obolibrary.org/obo/GO_0015948,945,879
http://purl.obolibrary.org/obo/GO_0000902,939,1090
http://purl.obolibrary.org/obo/GO_0016226,1663,1881
http://purl.obolibrary.org/obo/GO_0006096,4758,5474
http://purl.obolibrary.org/obo/GO_0006835,746,948
http://purl.obolibrary.org/obo/GO_0019439,837,951
http://purl.obolibrary.org/obo/GO_0006164,1942,2213
http://purl.obolibrary.org/obo/GO_0009306,1560,1776
http://purl.obolibrary.org/obo/GO_0006464,1603,1703
http://purl.obolibrary.org/obo/GO_0019551,839,874
http://purl.obolibrary.org/obo/GO_0006415,1536,1957
http://purl.obolibrary.org/obo/GO_0006281,5248,5991
http://purl.obolibrary.org/obo/GO_0006526,1282,1336
http://purl.obolibrary.org/obo/GO_0017004,1746,1997
http://purl.obolibrary.org/obo/GO_0006420,1364,1532
http://purl.obolibrary.org/obo/GO_0006298,2195,2792
http://purl.obolibrary.org/obo/GO_0006817,826,819
http://purl.obolibrary.org/obo/GO_0006555,695,835
http://purl.obolibrary.org/obo/GO_0006813,1025,1092
http://purl.obolibrary.org/obo/GO_0009073,1199,1334
http://purl.obolibrary.org/obo/GO_0006094,2009,2308
http://purl.obolibrary.org/obo/GO_0009396,1876,2070
http://purl.obolibrary.org/obo/GO_0033014,2020,2291
http://purl.obolibrary.org/obo/GO_0008652,887,915
http://purl.obolibrary.org/obo/GO_0051603,668,767
http://purl.obolibrary.org/obo/GO_0006633,1752,2013
http://purl.obolibrary.org/obo/GO_0017013,533,666
http://purl.obolibrary.org/obo/GO_0019441,892,904
http://purl.obolibrary.org/obo/GO_0008616,1458,1701
http://purl.obolibrary.org/obo/GO_0008654,1568,1836
http://purl.obolibrary.org/obo/GO_0006139,1403,1599
http://purl.obolibrary.org/obo/GO_0042128,731,781
http://purl.obolibrary.org/obo/GO_0009086,1254,1282
http://purl.obolibrary.org/obo/GO_0009432,681,859
http://purl.obolibrary.org/obo/GO_0006400,860,976
http://purl.obolibrary.org/obo/GO_0015991,1156,1244
http://purl.obolibrary.org/obo/GO_0006099,1424,1685
http://purl.obolibrary.org/obo/GO_0015977,688,794
http://purl.obolibrary.org/obo/GO_0006741,610,692
http://purl.obolibrary.org/obo/GO_0006097,618,695
http://purl.obolibrary.org/obo/GO_0015986,1618,1865
http://purl.obolibrary.org/obo/GO_0044237,676,800
http://purl.obolibrary.org/obo/GO_0006221,603,730
http://purl.obolibrary.org/obo/GO_0009435,1034,1203
http://purl.obolibrary.org/obo/GO_0016114,1282,1468
http://purl.obolibrary.org/obo/GO_0046034,547,677
http://purl.obolibrary.org/obo/GO_0008272,574,646
http://purl.obolibrary.org/obo/GO_0006979,1330,1414
http://purl.obolibrary.org/obo/GO_0009228,760,964
http://purl.obolibrary.org/obo/GO_0006779,1136,1201
http://purl.obolibrary.org/obo/GO_0006189,567,638
http://purl.obolibrary.org/obo/GO_0009231,1889,2296
http://purl.obolibrary.org/obo/GO_0006207,530,629
http://purl.obolibrary.org/obo/GO_0007154,399,318
http://purl.obolibrary.org/obo/GO_0006426,879,927
http://purl.obolibrary.org/obo/GO_0019538,508,566
http://purl.obolibrary.org/obo/GO_0006885,504,571
http://purl.obolibrary.org/obo/GO_0006414,655,823
http://purl.obolibrary.org/obo/GO_0000103,542,600
http://purl.obolibrary.org/obo/GO_0019475,451,529
http://purl.obolibrary.org/obo/GO_0015940,1035,1153
http://purl.obolibrary.org/obo/GO_0006783,516,570
http://purl.obolibrary.org/obo/GO_0006568,960,966
http://purl.obolibrary.org/obo/GO_0006412,11962,13691
http://purl.obolibrary.org/obo/GO_0009245,1330,1628
http://purl.obolibrary.org/obo/GO_0006808,534,581
http://purl.obolibrary.org/obo/GO_0009089,968,1095
http://purl.obolibrary.org/obo/GO_0019288,515,595
http://purl.obolibrary.org/obo/GO_0050992,515,595
http://purl.obolibrary.org/obo/GO_0051205,397,558
http://purl.obolibrary.org/obo/GO_0006231,833,1011
http://purl.obolibrary.org/obo/GO_0046080,437,556
http://purl.obolibrary.org/obo/GO_0016311,486,494
http://purl.obolibrary.org/obo/GO_0032324,571,674
http://purl.obolibrary.org/obo/GO_0042398,448,503
http://purl.obolibrary.org/obo/GO_0007156,372,318
http://purl.obolibrary.org/obo/GO_0030001,1058,1183
http://purl.obolibrary.org/obo/GO_0008610,447,568
http://purl.obolibrary.org/obo/GO_0009294,492,506
http://purl.obolibrary.org/obo/GO_0071704,509,540
http://purl.obolibrary.org/obo/GO_0006040,398,488
http://purl.obolibrary.org/obo/GO_0009254,444,536
http://purl.obolibrary.org/obo/GO_0006935,763,871
http://purl.obolibrary.org/obo/GO_0009253,677,894
http://purl.obolibrary.org/obo/GO_0006821,392,448
http://purl.obolibrary.org/obo/GO_0006304,828,1187
http://purl.obolibrary.org/obo/GO_0009249,439,506
http://purl.obolibrary.org/obo/GO_0042158,439,506
http://purl.obolibrary.org/obo/GO_0032259,466,549
http://purl.obolibrary.org/obo/GO_0006865,386,419
http://purl.obolibrary.org/obo/GO_0006556,1164,1239
http://purl.obolibrary.org/obo/GO_0006784,439,441
http://purl.obolibrary.org/obo/GO_0006811,353,431
http://purl.obolibrary.org/obo/GO_0009094,352,436
http://purl.obolibrary.org/obo/GO_0008615,723,860
http://purl.obolibrary.org/obo/GO_0009082,358,410
http://purl.obolibrary.org/obo/GO_0009165,611,724
http://purl.obolibrary.org/obo/GO_0042773,523,537
http://purl.obolibrary.org/obo/GO_0045017,257,294
http://purl.obolibrary.org/obo/GO_0006165,366,451
http://purl.obolibrary.org/obo/GO_0006183,366,451
http://purl.obolibrary.org/obo/GO_0006228,366,451
http://purl.obolibrary.org/obo/GO_0006241,366,451
http://purl.obolibrary.org/obo/GO_0016051,363,466
http://purl.obolibrary.org/obo/GO_0015936,357,377
http://purl.obolibrary.org/obo/GO_0046168,352,408
http://purl.obolibrary.org/obo/GO_0009098,396,459
http://purl.obolibrary.org/obo/GO_0010124,442,445
http://purl.obolibrary.org/obo/GO_0015969,347,446
http://purl.obolibrary.org/obo/GO_0015937,303,377
http://purl.obolibrary.org/obo/GO_0006571,399,440
http://purl.obolibrary.org/obo/GO_0006364,1507,1652
http://purl.obolibrary.org/obo/GO_0006542,393,452
http://purl.obolibrary.org/obo/GO_0051304,355,410
http://purl.obolibrary.org/obo/GO_0010498,342,351
http://purl.obolibrary.org/obo/GO_0019941,342,351
http://purl.obolibrary.org/obo/GO_0009186,208,282
http://purl.obolibrary.org/obo/GO_0008612,307,361
http://purl.obolibrary.org/obo/GO_0006006,625,685
http://purl.obolibrary.org/obo/GO_0031167,332,346
http://purl.obolibrary.org/obo/GO_0006777,990,1105
http://purl.obolibrary.org/obo/GO_0009113,572,637
http://purl.obolibrary.org/obo/GO_0006729,351,388
http://purl.obolibrary.org/obo/GO_0032784,530,630
http://purl.obolibrary.org/obo/GO_0006289,328,326
http://purl.obolibrary.org/obo/GO_0009267,212,301
http://purl.obolibrary.org/obo/GO_0015684,313,374
http://purl.obolibrary.org/obo/GO_0071973,862,864
http://purl.obolibrary.org/obo/GO_0032775,276,415
http://purl.obolibrary.org/obo/GO_0006750,571,670
http://purl.obolibrary.org/obo/GO_0006725,661,631
http://purl.obolibrary.org/obo/GO_0015703,279,259
http://purl.obolibrary.org/obo/GO_0006177,294,325
http://purl.obolibrary.org/obo/GO_0006879,289,329
http://purl.obolibrary.org/obo/GO_0030259,279,326
http://purl.obolibrary.org/obo/GO_0019478,287,332
http://purl.obolibrary.org/obo/GO_0044341,254,300
http://purl.obolibrary.org/obo/GO_0030163,450,490
http://purl.obolibrary.org/obo/GO_0022904,221,244
http://purl.obolibrary.org/obo/GO_0002949,259,283
http://purl.obolibrary.org/obo/GO_0009446,197,255
http://purl.obolibrary.org/obo/GO_0009052,234,305
http://purl.obolibrary.org/obo/GO_0006545,221,287
http://purl.obolibrary.org/obo/GO_0005992,349,316
http://purl.obolibrary.org/obo/GO_0006541,333,312
http://purl.obolibrary.org/obo/GO_0005976,258,329
http://purl.obolibrary.org/obo/GO_0006413,745,884
http://purl.obolibrary.org/obo/GO_0006353,367,450
http://purl.obolibrary.org/obo/GO_0006270,264,279
http://purl.obolibrary.org/obo/GO_0006275,373,386
http://purl.obolibrary.org/obo/GO_0043043,220,251
http://purl.obolibrary.org/obo/GO_0006098,270,222
http://purl.obolibrary.org/obo/GO_0031554,269,329
http://purl.obolibrary.org/obo/GO_0042254,302,356
http://purl.obolibrary.org/obo/GO_0016052,193,264
http://purl.obolibrary.org/obo/GO_0015774,217,277
http://purl.obolibrary.org/obo/GO_0009236,1615,1488
http://purl.obolibrary.org/obo/GO_0006007,210,234
http://purl.obolibrary.org/obo/GO_0042819,419,460
http://purl.obolibrary.org/obo/GO_0042823,419,460
http://purl.obolibrary.org/obo/GO_0006694,175,201
http://purl.obolibrary.org/obo/GO_0006559,196,185
http://purl.obolibrary.org/obo/GO_0006570,196,185
http://purl.obolibrary.org/obo/GO_0006801,382,515
http://purl.obolibrary.org/obo/GO_0015813,132,125
http://purl.obolibrary.org/obo/GO_0008360,222,274
http://purl.obolibrary.org/obo/GO_0044238,118,192
http://purl.obolibrary.org/obo/GO_0006432,478,536
http://purl.obolibrary.org/obo/GO_1902604,131,161
http://purl.obolibrary.org/obo/GO_0006109,278,337
http://purl.obolibrary.org/obo/GO_0006402,140,185
http://purl.obolibrary.org/obo/GO_0042274,192,222
http://purl.obolibrary.org/obo/GO_0015727,125,162
http://purl.obolibrary.org/obo/GO_0006120,197,201
http://purl.obolibrary.org/obo/GO_0015886,168,190
http://purl.obolibrary.org/obo/GO_0045892,246,196
http://purl.obolibrary.org/obo/GO_0007264,195,160
http://purl.obolibrary.org/obo/GO_0000256,282,285
http://purl.obolibrary.org/obo/GO_0051156,148,160
http://purl.obolibrary.org/obo/GO_0046417,163,187
http://purl.obolibrary.org/obo/GO_0006796,125,133
http://purl.obolibrary.org/obo/GO_0006760,186,143
http://purl.obolibrary.org/obo/GO_0033539,126,152
http://purl.obolibrary.org/obo/GO_0019281,192,208
http://purl.obolibrary.org/obo/GO_0006323,230,543
http://purl.obolibrary.org/obo/GO_0006021,171,148
http://purl.obolibrary.org/obo/GO_0017003,132,140
http://purl.obolibrary.org/obo/GO_0018193,104,102
http://purl.obolibrary.org/obo/GO_0051262,144,161
http://purl.obolibrary.org/obo/GO_0006188,311,347
http://purl.obolibrary.org/obo/GO_0010038,124,130
http://purl.obolibrary.org/obo/GO_0035429,109,101
http://purl.obolibrary.org/obo/GO_0007049,248,274
http://purl.obolibrary.org/obo/GO_0019354,124,128
http://purl.obolibrary.org/obo/GO_0006450,134,143
http://purl.obolibrary.org/obo/GO_0006505,112,112
http://purl.obolibrary.org/obo/GO_0006886,292,280
http://purl.obolibrary.org/obo/GO_0006486,186,179
http://purl.obolibrary.org/obo/GO_0009166,179,150
http://purl.obolibrary.org/obo/GO_0022900,157,183
http://purl.obolibrary.org/obo/GO_0006071,316,298
http://purl.obolibrary.org/obo/GO_0010033,146,119
http://purl.obolibrary.org/obo/GO_0061024,146,119
http://purl.obolibrary.org/obo/GO_0006423,128,136
http://purl.obolibrary.org/obo/GO_0017187,105,118
http://purl.obolibrary.org/obo/GO_0006470,147,163
http://purl.obolibrary.org/obo/GO_0006438,107,132
http://purl.obolibrary.org/obo/GO_0006605,165,181
http://purl.obolibrary.org/obo/GO_0006269,205,163
http://purl.obolibrary.org/obo/GO_0009307,178,228
http://purl.obolibrary.org/obo/GO_0009103,100,134
http://purl.obolibrary.org/obo/GO_0009308,215,176
http://purl.obolibrary.org/obo/GO_0031388,103,122
http://purl.obolibrary.org/obo/GO_0006308,161,227
http://purl.obolibrary.org/obo/GO_0006744,173,237
http://purl.obolibrary.org/obo/GO_0009401,194,186
http://purl.obolibrary.org/obo/GO_0009394,127,144
http://purl.obolibrary.org/obo/GO_0046653,93,101
http://purl.obolibrary.org/obo/GO_0000723,138,137
http://purl.obolibrary.org/obo/GO_0006064,135,186
http://purl.obolibrary.org/obo/GO_0006012,152,144
http://purl.obolibrary.org/obo/GO_0042619,75,70
http://purl.obolibrary.org/obo/GO_0051188,81,80
http://purl.obolibrary.org/obo/GO_0007034,130,123
http://purl.obolibrary.org/obo/GO_0006282,79,81
http://purl.obolibrary.org/obo/GO_0019645,68,68
http://purl.obolibrary.org/obo/GO_0006672,105,88
http://purl.obolibrary.org/obo/GO_0009117,73,85
http://purl.obolibrary.org/obo/GO_0009056,84,97
http://purl.obolibrary.org/obo/GO_0007186,164,75
http://purl.obolibrary.org/obo/GO_0006742,75,100
http://purl.obolibrary.org/obo/GO_0019363,75,100
http://purl.obolibrary.org/obo/GO_0006527,122,127
http://purl.obolibrary.org/obo/GO_0006481,77,57
http://purl.obolibrary.org/obo/GO_0008218,81,117
http://purl.obolibrary.org/obo/GO_0034258,79,92
http://purl.obolibrary.org/obo/GO_0015672,64,71
http://purl.obolibrary.org/obo/GO_0006535,69,70
http://purl.obolibrary.org/obo/GO_0006303,91,56
http://purl.obolibrary.org/obo/GO_0016598,129,115
http://purl.obolibrary.org/obo/GO_0042256,72,63
http://purl.obolibrary.org/obo/GO_0006523,75,88
http://purl.obolibrary.org/obo/GO_0006259,86,185
http://purl.obolibrary.org/obo/GO_0006388,153,170
http://purl.obolibrary.org/obo/GO_0000271,113,123
http://purl.obolibrary.org/obo/GO_0042919,26,22
http://purl.obolibrary.org/obo/GO_0046439,46,57
http://purl.obolibrary.org/obo/GO_0030488,92,74
http://purl.obolibrary.org/obo/GO_0006665,41,42
http://purl.obolibrary.org/obo/GO_0009403,71,89
http://purl.obolibrary.org/obo/GO_0007018,52,51
http://purl.obolibrary.org/obo/GO_0015878,81,65
http://purl.obolibrary.org/obo/GO_0006433,60,69
http://purl.obolibrary.org/obo/GO_0016579,50,34
http://purl.obolibrary.org/obo/GO_0008295,78,79
http://purl.obolibrary.org/obo/GO_0006084,48,69
http://purl.obolibrary.org/obo/GO_0009264,29,44
http://purl.obolibrary.org/obo/GO_0006878,53,54
http://purl.obolibrary.org/obo/GO_0002128,42,43
http://purl.obolibrary.org/obo/GO_0005978,30,37
http://purl.obolibrary.org/obo/GO_0043419,43,57
http://purl.obolibrary.org/obo/GO_0034220,83,81
http://purl.obolibrary.org/obo/GO_0006401,55,53
http://purl.obolibrary.org/obo/GO_0055070,27,38
http://purl.obolibrary.org/obo/GO_0006213,58,46
