Input Class,Property,Output Class
http://purl.obolibrary.org/obo/ENVO_00000531,http://purl.obolibrary.org/obo/BFO_0000051,http://purl.obolibrary.org/obo/ENVO_00000000
http://purl.obolibrary.org/obo/ENVO_03000114,http://purl.obolibrary.org/obo/RO_0000056,http://purl.obolibrary.org/obo/ENVO_03000099
http://purl.obolibrary.org/obo/ENVO_01000048,http://purl.obolibrary.org/obo/BFO_0000051,http://purl.obolibrary.org/obo/ENVO_00000015
http://purl.obolibrary.org/obo/ENVO_01000023,http://purl.obolibrary.org/obo/BFO_0000051,http://purl.obolibrary.org/obo/ENVO_00000000
http://purl.obolibrary.org/obo/ENVO_03000015,http://purl.obolibrary.org/obo/BFO_0000051,http://purl.obolibrary.org/obo/ENVO_00000000
http://purl.obolibrary.org/obo/ENVO_03000085,http://purl.obolibrary.org/obo/RO_0002354,http://purl.obolibrary.org/obo/ENVO_02500028
http://purl.obolibrary.org/obo/ENVO_00000397,http://purl.obolibrary.org/obo/BFO_0000051,http://purl.obolibrary.org/obo/ENVO_00000012
http://purl.obolibrary.org/obo/ENVO_01000651,http://purl.obolibrary.org/obo/BFO_0000051,http://purl.obolibrary.org/obo/ENVO_00000012
http://purl.obolibrary.org/obo/ENVO_01000666,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_01000281
http://purl.obolibrary.org/obo/ENVO_01000950,http://purl.obolibrary.org/obo/RO_0002234,http://purl.obolibrary.org/obo/ENVO_01000277
http://purl.obolibrary.org/obo/ENVO_01000914,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_00000132
http://purl.obolibrary.org/obo/ENVO_01000914,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_00000133
http://purl.obolibrary.org/obo/ENVO_01000881,http://purl.obolibrary.org/obo/BFO_0000051,http://purl.obolibrary.org/obo/ENVO_01000793
http://purl.obolibrary.org/obo/ENVO_03000085,http://purl.obolibrary.org/obo/BFO_0000051,http://purl.obolibrary.org/obo/ENVO_00000000
http://purl.obolibrary.org/obo/ENVO_01000180,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_01000817
http://purl.obolibrary.org/obo/ENVO_03000112,http://purl.obolibrary.org/obo/RO_0002354,http://purl.obolibrary.org/obo/ENVO_03000104
http://purl.obolibrary.org/obo/ENVO_03000006,http://purl.obolibrary.org/obo/RO_0000057,http://purl.obolibrary.org/obo/ENVO_00000133
http://purl.obolibrary.org/obo/ENVO_03000017,http://purl.obolibrary.org/obo/RO_0000057,http://purl.obolibrary.org/obo/ENVO_03000004
http://purl.obolibrary.org/obo/ENVO_03000038,http://purl.obolibrary.org/obo/RO_0002353,http://purl.obolibrary.org/obo/ENVO_03000020
http://purl.obolibrary.org/obo/ENVO_03000074,http://purl.obolibrary.org/obo/RO_0002220,http://purl.obolibrary.org/obo/ENVO_00000000
http://purl.obolibrary.org/obo/ENVO_00000397,http://purl.obolibrary.org/obo/RO_0001015,http://purl.obolibrary.org/obo/ENVO_00000020
http://purl.obolibrary.org/obo/ENVO_01000186,http://purl.obolibrary.org/obo/envo#has_condition,http://purl.obolibrary.org/obo/ENVO_01000230
http://purl.obolibrary.org/obo/ENVO_01000882,http://purl.obolibrary.org/obo/BFO_0000051,http://purl.obolibrary.org/obo/ENVO_01000793
http://purl.obolibrary.org/obo/ENVO_01000066,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_01000819
http://purl.obolibrary.org/obo/ENVO_00009686,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_00000380
http://purl.obolibrary.org/obo/ENVO_03000018,http://purl.obolibrary.org/obo/ENVO_01001307,http://purl.obolibrary.org/obo/ENVO_00000132
http://purl.obolibrary.org/obo/ENVO_03000018,http://purl.obolibrary.org/obo/ENVO_01001307,http://purl.obolibrary.org/obo/ENVO_00000133
http://purl.obolibrary.org/obo/ENVO_01000846,http://purl.obolibrary.org/obo/RO_0002473,http://purl.obolibrary.org/obo/ENVO_01000277
http://purl.obolibrary.org/obo/ENVO_01000076,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_00000000
http://purl.obolibrary.org/obo/ENVO_01000874,http://purl.obolibrary.org/obo/RO_0000057,http://purl.obolibrary.org/obo/ENVO_01000277
http://purl.obolibrary.org/obo/ENVO_00000084,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_00000080
http://purl.obolibrary.org/obo/ENVO_01000748,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_01000800
http://purl.obolibrary.org/obo/ENVO_03000051,http://purl.obolibrary.org/obo/RO_0002219,http://purl.obolibrary.org/obo/ENVO_01000277
http://purl.obolibrary.org/obo/ENVO_03000032,http://purl.obolibrary.org/obo/RO_0000057,http://purl.obolibrary.org/obo/ENVO_00000298
http://purl.obolibrary.org/obo/ENVO_00000085,http://purl.obolibrary.org/obo/RO_0002220,http://purl.obolibrary.org/obo/ENVO_00000248
http://purl.obolibrary.org/obo/ENVO_01000065,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_01000819
http://purl.obolibrary.org/obo/ENVO_03000069,http://purl.obolibrary.org/obo/RO_0002473,http://purl.obolibrary.org/obo/ENVO_01000277
http://purl.obolibrary.org/obo/ENVO_03000042,http://purl.obolibrary.org/obo/RO_0000057,http://purl.obolibrary.org/obo/ENVO_00003044
http://purl.obolibrary.org/obo/ENVO_03000041,http://purl.obolibrary.org/obo/RO_0002473,http://purl.obolibrary.org/obo/ENVO_01000277
http://purl.obolibrary.org/obo/ENVO_01000108,http://purl.obolibrary.org/obo/RO_0002220,http://purl.obolibrary.org/obo/ENVO_01000075
http://purl.obolibrary.org/obo/ENVO_01000322,http://purl.obolibrary.org/obo/RO_0002507,http://purl.obolibrary.org/obo/ENVO_00002019
http://purl.obolibrary.org/obo/ENVO_03000067,http://purl.obolibrary.org/obo/RO_0002473,http://purl.obolibrary.org/obo/ENVO_01000277
http://purl.obolibrary.org/obo/ENVO_03000039,http://purl.obolibrary.org/obo/BFO_0000051,http://purl.obolibrary.org/obo/ENVO_03000038
http://purl.obolibrary.org/obo/ENVO_00000369,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_00000015
http://purl.obolibrary.org/obo/ENVO_00000396,http://purl.obolibrary.org/obo/RO_0002131,http://purl.obolibrary.org/obo/ENVO_00000000
http://purl.obolibrary.org/obo/ENVO_03000041,http://purl.obolibrary.org/obo/RO_0002354,http://purl.obolibrary.org/obo/ENVO_03000042
http://purl.obolibrary.org/obo/ENVO_01000651,http://purl.obolibrary.org/obo/RO_0002176,http://purl.obolibrary.org/obo/ENVO_00000000
http://purl.obolibrary.org/obo/ENVO_01000719,http://purl.obolibrary.org/obo/RO_0002233,http://purl.obolibrary.org/obo/ENVO_01000406
http://purl.obolibrary.org/obo/ENVO_01000307,http://purl.obolibrary.org/obo/RO_0002507,http://purl.obolibrary.org/obo/ENVO_01000815
http://purl.obolibrary.org/obo/ENVO_03000102,http://purl.obolibrary.org/obo/RO_0002233,http://purl.obolibrary.org/obo/ENVO_01000406
http://purl.obolibrary.org/obo/ENVO_00002450,http://purl.obolibrary.org/obo/BFO_0000051,http://purl.obolibrary.org/obo/ENVO_00000000
http://purl.obolibrary.org/obo/ENVO_00000080,http://purl.obolibrary.org/obo/BFO_0000051,http://purl.obolibrary.org/obo/ENVO_00000081
http://purl.obolibrary.org/obo/ENVO_01000919,http://purl.obolibrary.org/obo/BFO_0000066,http://purl.obolibrary.org/obo/ENVO_01000914
http://purl.obolibrary.org/obo/ENVO_01000078,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_01000819
http://purl.obolibrary.org/obo/ENVO_03000059,http://purl.obolibrary.org/obo/RO_0002234,http://purl.obolibrary.org/obo/ENVO_03000069
http://purl.obolibrary.org/obo/ENVO_03000033,http://purl.obolibrary.org/obo/RO_0002220,http://purl.obolibrary.org/obo/ENVO_00000000
http://purl.obolibrary.org/obo/ENVO_03000042,http://purl.obolibrary.org/obo/RO_0002234,http://purl.obolibrary.org/obo/ENVO_03000041
http://purl.obolibrary.org/obo/ENVO_02500007,http://purl.obolibrary.org/obo/BFO_0000051,http://purl.obolibrary.org/obo/GO_0015979
http://purl.obolibrary.org/obo/ENVO_03000031,http://purl.obolibrary.org/obo/RO_0000057,http://purl.obolibrary.org/obo/ENVO_00000133
http://purl.obolibrary.org/obo/ENVO_03000120,http://purl.obolibrary.org/obo/RO_0002220,http://purl.obolibrary.org/obo/ENVO_00000133
http://purl.obolibrary.org/obo/ENVO_00000488,http://purl.obolibrary.org/obo/RO_0002354,http://purl.obolibrary.org/obo/ENVO_03000006
http://purl.obolibrary.org/obo/ENVO_03000110,http://purl.obolibrary.org/obo/RO_0002473,http://purl.obolibrary.org/obo/ENVO_00000134
http://purl.obolibrary.org/obo/ENVO_03000110,http://purl.obolibrary.org/obo/RO_0002473,http://purl.obolibrary.org/obo/ENVO_01000277
http://purl.obolibrary.org/obo/ENVO_03000110,http://purl.obolibrary.org/obo/RO_0002473,http://purl.obolibrary.org/obo/ENVO_01000406
http://purl.obolibrary.org/obo/ENVO_01001043,http://purl.obolibrary.org/obo/RO_0002507,http://purl.obolibrary.org/obo/ENVO_00002012
http://purl.obolibrary.org/obo/ENVO_00000020,http://purl.obolibrary.org/obo/RO_0001018,http://purl.obolibrary.org/obo/ENVO_01000281
http://purl.obolibrary.org/obo/ENVO_01000682,http://purl.obolibrary.org/obo/RO_0000057,http://purl.obolibrary.org/obo/ENVO_00000133
http://purl.obolibrary.org/obo/ENVO_03000086,http://purl.obolibrary.org/obo/RO_0002233,http://purl.obolibrary.org/obo/ENVO_01000277
http://purl.obolibrary.org/obo/ENVO_03000112,http://purl.obolibrary.org/obo/RO_0002473,http://purl.obolibrary.org/obo/ENVO_03000027
http://purl.obolibrary.org/obo/ENVO_01000950,http://purl.obolibrary.org/obo/RO_0002233,http://purl.obolibrary.org/obo/ENVO_01000815
http://purl.obolibrary.org/obo/ENVO_03000063,http://purl.obolibrary.org/obo/RO_0002220,http://purl.obolibrary.org/obo/ENVO_00000000
http://purl.obolibrary.org/obo/ENVO_01000810,http://purl.obolibrary.org/obo/ENVO_01001307,http://purl.obolibrary.org/obo/ENVO_01000281
http://purl.obolibrary.org/obo/ENVO_00002150,http://purl.obolibrary.org/obo/RO_0002220,http://purl.obolibrary.org/obo/ENVO_00000000
http://purl.obolibrary.org/obo/ENVO_03000095,http://purl.obolibrary.org/obo/RO_0000057,http://purl.obolibrary.org/obo/ENVO_01000800
http://purl.obolibrary.org/obo/ENVO_00000396,http://purl.obolibrary.org/obo/BFO_0000051,http://purl.obolibrary.org/obo/ENVO_00000012
http://purl.obolibrary.org/obo/ENVO_01000076,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_00000447
http://purl.obolibrary.org/obo/ENVO_03000073,http://purl.obolibrary.org/obo/RO_0002353,http://purl.obolibrary.org/obo/ENVO_03000062
http://purl.obolibrary.org/obo/ENVO_01000778,http://purl.obolibrary.org/obo/BFO_0000051,http://purl.obolibrary.org/obo/PCO_0000002
http://purl.obolibrary.org/obo/ENVO_01000323,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_01000281
http://purl.obolibrary.org/obo/ENVO_01000160,http://purl.obolibrary.org/obo/RO_0002131,http://purl.obolibrary.org/obo/ENVO_00000000
http://purl.obolibrary.org/obo/ENVO_00000873,http://purl.obolibrary.org/obo/ENVO_2100001,http://purl.obolibrary.org/obo/PCO_0000002
http://purl.obolibrary.org/obo/ENVO_03000040,http://purl.obolibrary.org/obo/BFO_0000051,http://purl.obolibrary.org/obo/ENVO_01000815
http://purl.obolibrary.org/obo/ENVO_01000283,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_00000020
http://purl.obolibrary.org/obo/ENVO_00000015,http://purl.obolibrary.org/obo/BFO_0000051,http://purl.obolibrary.org/obo/ENVO_01000815
http://purl.obolibrary.org/obo/ENVO_01000686,http://purl.obolibrary.org/obo/RO_0002473,http://purl.obolibrary.org/obo/ENVO_01000815
http://purl.obolibrary.org/obo/ENVO_01000186,http://purl.obolibrary.org/obo/BFO_0000051,http://purl.obolibrary.org/obo/ENVO_00000097
http://purl.obolibrary.org/obo/ENVO_03000041,http://purl.obolibrary.org/obo/BFO_0000051,http://purl.obolibrary.org/obo/ENVO_00003044
http://purl.obolibrary.org/obo/ENVO_01000675,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_01000281
http://purl.obolibrary.org/obo/ENVO_03000084,http://purl.obolibrary.org/obo/RO_0002354,http://purl.obolibrary.org/obo/ENVO_03000086
http://purl.obolibrary.org/obo/ENVO_03000065,http://purl.obolibrary.org/obo/RO_0002473,http://purl.obolibrary.org/obo/ENVO_01000277
http://purl.obolibrary.org/obo/ENVO_03000093,http://purl.obolibrary.org/obo/RO_0000057,http://purl.obolibrary.org/obo/ENVO_01000554
http://purl.obolibrary.org/obo/ENVO_00000248,http://purl.obolibrary.org/obo/RO_0002354,http://purl.obolibrary.org/obo/ENVO_02500028
http://purl.obolibrary.org/obo/ENVO_00000021,http://purl.obolibrary.org/obo/RO_0002473,http://purl.obolibrary.org/obo/ENVO_00002011
http://purl.obolibrary.org/obo/ENVO_03000113,http://purl.obolibrary.org/obo/RO_0002354,http://purl.obolibrary.org/obo/ENVO_03000098
http://purl.obolibrary.org/obo/ENVO_2000005,http://purl.obolibrary.org/obo/RO_0001025,http://purl.obolibrary.org/obo/ENVO_00000873
http://purl.obolibrary.org/obo/ENVO_02500004,http://purl.obolibrary.org/obo/BFO_0000066,http://purl.obolibrary.org/obo/ENVO_01000281
http://purl.obolibrary.org/obo/ENVO_01000323,http://purl.obolibrary.org/obo/RO_0002007,http://purl.obolibrary.org/obo/ENVO_01000281
http://purl.obolibrary.org/obo/ENVO_00000447,http://purl.obolibrary.org/obo/ENVO_2100001,http://purl.obolibrary.org/obo/PCO_0000002
http://purl.obolibrary.org/obo/ENVO_03000071,http://purl.obolibrary.org/obo/RO_0002353,http://purl.obolibrary.org/obo/ENVO_03000060
http://purl.obolibrary.org/obo/ENVO_00002236,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_00000134
http://purl.obolibrary.org/obo/ENVO_01000912,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_01000060
http://purl.obolibrary.org/obo/ENVO_03000009,http://purl.obolibrary.org/obo/RO_0002084,http://purl.obolibrary.org/obo/ENVO_03000010
http://purl.obolibrary.org/obo/ENVO_03000009,http://purl.obolibrary.org/obo/RO_0002084,http://purl.obolibrary.org/obo/ENVO_03000043
http://purl.obolibrary.org/obo/ENVO_03000040,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_01000819
http://purl.obolibrary.org/obo/ENVO_01000647,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_01000800
http://purl.obolibrary.org/obo/ENVO_01000754,http://purl.obolibrary.org/obo/RO_0002220,http://purl.obolibrary.org/obo/ENVO_00000000
http://purl.obolibrary.org/obo/ENVO_03000051,http://purl.obolibrary.org/obo/RO_0001025,http://purl.obolibrary.org/obo/ENVO_01000293
http://purl.obolibrary.org/obo/ENVO_03000034,http://purl.obolibrary.org/obo/RO_0002220,http://purl.obolibrary.org/obo/ENVO_00000223
http://purl.obolibrary.org/obo/ENVO_01000915,http://purl.obolibrary.org/obo/RO_0000057,http://purl.obolibrary.org/obo/ENVO_01000293
http://purl.obolibrary.org/obo/ENVO_00002450,http://purl.obolibrary.org/obo/RO_0002220,http://purl.obolibrary.org/obo/ENVO_00000015
http://purl.obolibrary.org/obo/ENVO_01000882,http://purl.obolibrary.org/obo/BFO_0000066,http://purl.obolibrary.org/obo/ENVO_01000281
http://purl.obolibrary.org/obo/ENVO_01000083,http://purl.obolibrary.org/obo/RO_0001018,http://purl.obolibrary.org/obo/ENVO_01000819
http://purl.obolibrary.org/obo/ENVO_03000003,http://purl.obolibrary.org/obo/RO_0002233,http://purl.obolibrary.org/obo/ENVO_03000027
http://purl.obolibrary.org/obo/ENVO_01000108,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_00000015
http://purl.obolibrary.org/obo/ENVO_01000108,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_00000016
http://purl.obolibrary.org/obo/ENVO_03000050,http://purl.obolibrary.org/obo/RO_0002353,http://purl.obolibrary.org/obo/ENVO_01000723
http://purl.obolibrary.org/obo/ENVO_03000029,http://purl.obolibrary.org/obo/RO_0000057,http://purl.obolibrary.org/obo/ENVO_00000133
http://purl.obolibrary.org/obo/ENVO_00000133,http://purl.obolibrary.org/obo/BFO_0000051,http://purl.obolibrary.org/obo/ENVO_01000406
http://purl.obolibrary.org/obo/ENVO_00000020,http://purl.obolibrary.org/obo/ENVO_01001307,http://purl.obolibrary.org/obo/ENVO_01000281
http://purl.obolibrary.org/obo/ENVO_01000903,http://purl.obolibrary.org/obo/BFO_0000051,http://purl.obolibrary.org/obo/ENVO_03000103
http://purl.obolibrary.org/obo/ENVO_03000056,http://purl.obolibrary.org/obo/RO_0002234,http://purl.obolibrary.org/obo/ENVO_03000046
http://purl.obolibrary.org/obo/ENVO_03000056,http://purl.obolibrary.org/obo/RO_0002234,http://purl.obolibrary.org/obo/ENVO_03000075
http://purl.obolibrary.org/obo/ENVO_03000056,http://purl.obolibrary.org/obo/RO_0002234,http://purl.obolibrary.org/obo/ENVO_03000076
http://purl.obolibrary.org/obo/ENVO_01000065,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_00000447
http://purl.obolibrary.org/obo/ENVO_03000088,http://purl.obolibrary.org/obo/BFO_0000051,http://purl.obolibrary.org/obo/ENVO_01000554
http://purl.obolibrary.org/obo/ENVO_01000067,http://purl.obolibrary.org/obo/RO_0001018,http://purl.obolibrary.org/obo/ENVO_01000819
http://purl.obolibrary.org/obo/ENVO_01000061,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_00000209
http://purl.obolibrary.org/obo/ENVO_03000104,http://purl.obolibrary.org/obo/RO_0000057,http://purl.obolibrary.org/obo/ENVO_03000027
http://purl.obolibrary.org/obo/ENVO_03000085,http://purl.obolibrary.org/obo/RO_0002354,http://purl.obolibrary.org/obo/ENVO_03000086
http://purl.obolibrary.org/obo/ENVO_00000137,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_00000015
http://purl.obolibrary.org/obo/ENVO_00000137,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_00000016
http://purl.obolibrary.org/obo/ENVO_01000721,http://purl.obolibrary.org/obo/RO_0002233,http://purl.obolibrary.org/obo/ENVO_01000277
http://purl.obolibrary.org/obo/ENVO_03000042,http://purl.obolibrary.org/obo/BFO_0000062,http://purl.obolibrary.org/obo/ENVO_03000045
