Date Time,Gear Identification Number,Water Depth,Pressure,Temperature,Salinity,Horizontal Current Velocity,Current Direction,East-west Current Velocity,North-south Current Velocity,Oxygen
2014-06-20T09:00,1,146.4,148,2.438,34.9,,,,,
2014-06-20T09:00,4,1201.1,1217.4,-0.277,,4.32,241.9,-3.81,-2.03,373.4
2014-06-20T09:00,6,2450.2,2490.9,-0.752,,10.41,224.6,-7.32,-7.41,341.68
2014-06-20T09:00,2,2450.8,2491.5,-0.744,34.923,,,,,
2014-06-20T10:00,1,146.3,147.9,2.538,34.938,,,,,
2014-06-20T10:00,4,1201,1217.3,-0.291,,4.99,218.8,-3.13,-3.89,365.6
2014-06-20T10:00,6,2450,2490.8,-0.752,,11.45,237.1,-9.61,-6.22,341.43
2014-06-20T10:00,2,2450.8,2491.6,-0.744,34.923,,,,,
2014-06-20T11:00,1,146.5,148.1,2.614,34.955,,,,,
2014-06-20T11:00,3,522.1,528.3,1.234,,5.57,223.8,-3.86,-4.02,
2014-06-20T11:00,4,1201,1217.4,-0.295,,6.96,222.4,-4.69,-5.14,365.99
2014-06-20T11:00,5,2269.4,2306.2,-0.719,,7.33,223.1,-5.01,-5.35,
2014-06-20T11:00,6,2449.9,2490.6,-0.751,,11.5,235.3,-9.46,-6.54,341.24
2014-06-20T11:00,2,2450.8,2491.6,-0.743,34.923,,,,,
2014-06-20T12:00,1,147.1,148.7,2.645,34.958,,,,,
2014-06-20T12:00,3,522.1,528.3,1.173,,6.45,220,-4.14,-4.95,
2014-06-20T12:00,4,1201.4,1217.7,-0.291,,7.59,221.5,-5.03,-5.68,369.28
2014-06-20T12:00,5,2269.4,2306.2,-0.71,,8.21,222.1,-5.5,-6.1,
2014-06-20T12:00,6,2449.8,2490.6,-0.751,,10.96,233.8,-8.84,-6.47,340.6
2014-06-20T12:00,2,2450.8,2491.6,-0.743,34.923,,,,,
2014-06-20T13:00,1,148.3,150,2.692,34.963,,,,,
2014-06-20T13:00,3,522.1,528.3,1.103,,9.09,207.7,-4.22,-8.05,
2014-06-20T13:00,4,1202.2,1218.5,-0.292,,8.02,224,-5.57,-5.77,367.78
2014-06-20T13:00,5,2269.4,2306.2,-0.71,,7.33,211.5,-3.83,-6.25,
2014-06-20T13:00,6,2449.9,2490.7,-0.752,,11.7,222.5,-7.9,-8.62,334.57
2014-06-20T13:00,2,2450.9,2491.7,-0.743,34.923,,,,,
2014-06-20T14:00,1,149.7,151.4,2.65,34.959,,,,,
2014-06-20T14:00,3,522.1,528.3,1.225,,9.68,211.9,-5.11,-8.22,
2014-06-20T14:00,4,1203,1219.4,-0.299,,9.81,214.7,-5.59,-8.06,371.88
2014-06-20T14:00,5,2269.4,2306.2,-0.71,,7.63,216.8,-4.57,-6.11,
2014-06-20T14:00,6,2450,2490.8,-0.753,,12.02,209.5,-5.91,-10.47,341.87
2014-06-20T14:00,2,2451.1,2491.9,-0.744,34.923,,,,,
2014-06-20T15:00,1,150.8,152.5,2.678,34.964,,,,,
2014-06-20T15:00,3,522.1,528.3,1.295,,11.73,213.3,-6.44,-9.81,
2014-06-20T15:00,4,1203.6,1220,-0.293,,10.17,218.5,-6.33,-7.96,372.98
2014-06-20T15:00,5,2269.4,2306.2,-0.71,,8.51,216.4,-5.05,-6.84,
2014-06-20T15:00,6,2450.2,2491,-0.754,,13.05,213.8,-7.27,-10.84,342.2
2014-06-20T15:00,2,2451.3,2492.1,-0.746,34.923,,,,,
2014-06-20T16:00,1,151.1,152.8,2.784,34.98,,,,,
2014-06-20T16:00,3,522.1,528.3,1.295,,10.56,209.4,-5.18,-9.2,
2014-06-20T16:00,4,1203.7,1220.1,-0.252,,10.57,218.2,-6.54,-8.3,371.37
2014-06-20T16:00,5,2269.4,2306.2,-0.71,,7.63,211.5,-3.99,-6.5,
2014-06-20T16:00,6,2450.4,2491.1,-0.754,,12.28,218.1,-7.57,-9.67,338.52
2014-06-20T16:00,2,2451.5,2492.3,-0.746,34.923,,,,,
2014-06-20T17:00,1,150.6,152.3,2.588,34.952,,,,,
2014-06-20T17:00,3,522.1,528.3,1.46,,10.27,214.3,-5.79,-8.48,
2014-06-20T17:00,4,1203.4,1219.8,-0.265,,9.48,219.1,-5.97,-7.36,368.73
2014-06-20T17:00,5,2269.4,2306.2,-0.71,,6.75,211.2,-3.49,-5.77,
2014-06-20T17:00,6,2450.5,2491.3,-0.754,,10.81,218.2,-6.68,-8.5,333.89
2014-06-20T17:00,2,2451.7,2492.5,-0.746,34.924,,,,,
2014-06-20T18:00,1,149.2,150.9,2.433,34.937,,,,,
2014-06-20T18:00,3,522.1,528.3,1.582,,9.68,209.4,-4.75,-8.43,
2014-06-20T18:00,4,1202.7,1219.1,-0.267,,8.07,224.3,-5.63,-5.78,366.6
2014-06-20T18:00,5,2269.4,2306.2,-0.71,,7.33,217.8,-4.5,-5.79,
2014-06-20T18:00,6,2450.5,2491.3,-0.754,,10.66,221.1,-7.01,-8.03,338.01
2014-06-20T18:00,2,2451.7,2492.5,-0.746,34.924,,,,,
2014-06-20T19:00,1,148.1,149.8,2.457,34.939,,,,,
2014-06-20T19:00,3,522.1,528.3,1.59,,10.27,218.2,-6.35,-8.07,
2014-06-20T19:00,4,1202.1,1218.5,-0.271,,7.06,219.4,-4.48,-5.45,364.51
2014-06-20T19:00,5,2269.4,2306.2,-0.737,,6.45,228.4,-4.82,-4.28,
2014-06-20T19:00,6,2450.5,2491.2,-0.752,,10.46,233.1,-8.37,-6.28,340.21
2014-06-20T19:00,2,2451.7,2492.5,-0.746,34.924,,,,,
2014-06-20T20:00,1,147.4,149,2.561,34.948,,,,,
2014-06-20T20:00,3,522.1,528.3,1.39,,7.92,224.5,-5.55,-5.65,
2014-06-20T20:00,4,1201.7,1218,-0.274,,4.69,232.6,-3.73,-2.85,361.86
2014-06-20T20:00,5,2269.4,2306.2,-0.728,,7.33,233.7,-5.91,-4.34,
2014-06-20T20:00,6,2450.4,2491.1,-0.753,,9.34,236.9,-7.82,-5.1,339.17
2014-06-20T20:00,2,2451.6,2492.4,-0.746,34.924,,,,,
2014-06-20T21:00,1,147,148.6,2.591,34.953,,,,,
2014-06-20T21:00,3,522.1,528.3,1.46,,8.21,221,-5.39,-6.2,
2014-06-20T21:00,4,1201.4,1217.7,-0.265,,5.38,219.5,-3.43,-4.15,350.18
2014-06-20T21:00,5,2269.4,2306.2,-0.728,,6.45,246.7,-5.93,-2.55,
2014-06-20T21:00,6,2450.2,2491,-0.754,,9.22,247.1,-8.49,-3.59,338.02
2014-06-20T21:00,2,2451.5,2492.3,-0.746,34.923,,,,,
2014-06-20T22:00,1,146.9,148.5,2.505,34.94,,,,,
2014-06-20T22:00,3,522.1,528.3,1.39,,7.04,213.3,-3.86,-5.88,
2014-06-20T22:00,4,1201.3,1217.6,-0.284,,5.55,223,-3.78,-4.06,369.24
2014-06-20T22:00,5,2269.4,2306.2,-0.737,,6.75,240.7,-5.88,-3.3,
2014-06-20T22:00,6,2450,2490.8,-0.754,,8.25,251,-7.8,-2.68,338.41
2014-06-20T22:00,2,2451.3,2492.1,-0.746,34.923,,,,,
2014-06-20T23:00,1,147.2,148.8,1.88,34.889,,,,,
2014-06-20T23:00,3,522.1,528.3,1.277,,7.63,214.3,-4.3,-6.3,
2014-06-20T23:00,4,1201.3,1217.7,-0.287,,6.12,231.4,-4.78,-3.82,369.43
2014-06-20T23:00,5,2269.4,2306.2,-0.728,,6.75,240.3,-5.86,-3.34,
2014-06-20T23:00,6,2449.9,2490.7,-0.754,,8.58,244.5,-7.74,-3.7,337.77
2014-06-20T23:00,2,2451.2,2492,-0.746,34.923,,,,,
2014-06-21T00:00,1,147.5,149.2,1.45,34.829,,,,,
2014-06-21T00:00,3,522.1,528.3,1.181,,9.09,214.7,-5.17,-7.48,
2014-06-21T00:00,4,1201.5,1217.8,-0.29,,6.32,228,-4.7,-4.23,366.54
2014-06-21T00:00,5,2269.4,2306.2,-0.737,,6.16,237.2,-5.18,-3.34,
2014-06-21T00:00,6,2449.8,2490.6,-0.754,,8.73,236.1,-7.25,-4.87,338.49
2014-06-21T00:00,2,2451.1,2491.9,-0.746,34.923,,,,,
2014-06-21T01:00,1,148.3,150,1.567,34.835,,,,,
2014-06-21T01:00,3,522.1,528.3,1.303,,9.09,218.6,-5.67,-7.11,
2014-06-21T01:00,4,1201.8,1218.2,-0.277,,7.13,223.8,-4.94,-5.15,358.1
2014-06-21T01:00,5,2269.4,2306.2,-0.737,,5.87,234,-4.75,-3.45,
2014-06-21T01:00,6,2449.9,2490.6,-0.753,,8.62,237.4,-7.27,-4.64,338.75
2014-06-21T01:00,2,2451.1,2491.9,-0.745,34.923,,,,,
2014-06-21T02:00,1,149,150.6,1.432,34.821,,,,,
