Ord No,Date Time,Latitude,Longitude,Water Depth,Total Chlorophyll A,Diatom Chlorophyll A,Haptophyte Chlorophyll A,Prokaryote Chlorophyll A 
1,2004-10-26,-8.40462,-141.23787,4.59,0.3321,0.0473,0.124,0.0958
2,2004-10-26,-8.39107,-141.2394,10.815,0.368,0.0593,0.1361,0.0968
3,2004-10-26,-8.39107,-141.2394,4.25,0.3697,0.0586,0.1388,0.0996
4,2004-10-27,-8.36645,-141.27205,9.809,0.2809,0.0265,0.1044,0.09
5,2004-10-27,-8.36645,-141.27205,5.563,0.2704,0.0236,0.0997,0.0888
6,2004-10-28,-8.32545,-141.27521,6.203,0.2775,0.0221,0.098,0.1016
7,2004-10-28,-8.31027,-141.27876,8.587,0.2388,0.0255,0.0793,0.084
8,2004-10-28,-8.31027,-141.27876,4.655,0.2434,0.0244,0.0809,0.0871
9,2004-10-29,-8.31932,-141.24402,9.441,0.1626,0.0137,0.0547,0.0593
10,2004-10-29,-8.31932,-141.24402,5.123,0.1676,0.0113,0.0533,0.0723
11,2004-10-30,-8.97687,-140.10826,5.885,0.2655,0.0011,0.0645,0.1496
12,2004-10-31,-8.99582,-136.84779,5.246,0.1283,0.0021,0.0161,0.0943
13,2004-10-31,-9.00905,-136.85042,3.804,0.1139,0.0019,0.014,0.084
14,2004-11-01,-9.03002,-136.94431,4.668,0.128,0.0017,0.016,0.0942
15,2004-11-03,-11.73528,-134.09633,9.976,0.1125,0.0033,0.0192,0.0755
16,2004-11-03,-11.74838,-134.1012,4.973,0.107,0.0026,0.0162,0.0751
17,2004-11-03,-11.74838,-134.1012,5,0.0982,0.003,0.0157,0.0664
18,2004-11-03,-11.74838,-134.1012,5,0.0985,0.0031,0.0156,0.0657
19,2004-11-03,-11.74838,-134.1012,5,0.0936,0.0028,0.0143,0.0646
20,2004-11-04,-13.54127,-132.11441,4.586,0.0919,0.0007,0.0096,0.0755
21,2004-11-04,-13.54127,-132.11441,5,0.0836,0.0006,0.009,0.0683
22,2004-11-04,-13.54127,-132.11441,5,0.0836,0.0007,0.0089,0.0685
23,2004-11-04,-13.54127,-132.11441,5,0.0818,0.0006,0.0085,0.0674
24,2004-11-05,-15.53302,-129.92293,4.361,0.0524,0,0.0027,0.0455
25,2004-11-05,-15.53302,-129.92293,5,0.0469,0,0.002,0.042
26,2004-11-05,-15.53302,-129.92293,5,0.0475,0,0.0021,0.0426
27,2004-11-05,-15.53302,-129.92293,5,0.0469,0,0.0021,0.0419
28,2004-11-06,-17.23257,-127.97493,4.852,0.0421,0,0.0016,0.0378
29,2004-11-07,-18.74717,-125.55151,5.702,0.0379,0,0.0012,0.0332
30,2004-11-07,-18.7496,-125.54897,4.711,0.0348,0,0.0011,0.0299
31,2004-11-08,-20.45467,-122.89305,5.277,0.0175,0,0.0017,0.0128
32,2004-11-08,-20.44387,-122.91354,5.267,0.0169,0,0.0005,0.0145
33,2004-11-08,-20.44387,-122.91354,5,0.0166,0,0.0006,0.0127
34,2004-11-09,-22.05007,-120.38205,6.404,0.0222,0,0.001,0.0177
35,2004-11-09,-22.04258,-120.35733,5,0.0216,0.0005,0.0012,0.017
36,2004-11-09,-22.04258,-120.35733,5,0.0221,0,0.0011,0.018
37,2004-11-09,-22.04258,-120.35733,5,0.0215,0,0.001,0.017
38,2004-11-10,-23.54165,-117.87365,5.842,0.0235,0.0008,0.0013,0.0187
39,2004-11-10,-23.54165,-117.87365,5,0.0265,0.0008,0.0018,0.02
40,2004-11-10,-23.54165,-117.87365,5,0.026,0.0008,0.0017,0.0194
41,2004-11-10,-23.54165,-117.87365,5,0.0261,0.0008,0.0017,0.0196
42,2004-11-12,-25.96975,-114.00505,6.366,0.0265,0.0011,0.0019,0.0183
43,2004-11-12,-25.9791,-114.00618,4.536,0.0233,0.0009,0.0015,0.0169
44,2004-11-13,-26.03165,-114.00843,6.361,0.0198,0.0007,0.001,0.0154
45,2004-11-14,-26.05263,-114.01095,5.113,0.0206,0.0007,0.001,0.0162
46,2004-11-14,-26.05947,-114.00177,4.925,0.0194,0.0008,0.0009,0.0152
47,2004-11-15,-26.07043,-114.02315,5.092,0.0196,0.0008,0.001,0.0152
48,2004-11-15,-26.06882,-114.03249,4.773,0.0194,0.0007,0.001,0.0151
49,2004-11-17,-26.852,-110.667,5.106,0.0276,0.0009,0.0014,0.0213
50,2004-11-20,-27.77275,-107.28623,5.246,0.0296,0.0016,0.0017,0.0238
51,2004-11-20,-27.76372,-107.27278,5.954,0.03,0.0016,0.0016,0.0246
52,2004-11-20,-27.76372,-107.27278,5,0.0282,0.0014,0.0013,0.0234
53,2004-11-21,-28.53627,-104.308,4.379,0.0202,0.001,0.001,0.0155
54,2004-11-21,-28.52513,-104.30556,4.351,0.018,0.0009,0.0008,0.0138
55,2004-11-21,-28.52513,-104.30556,5,0.0163,0.0008,0.0006,0.0128
56,2004-11-22,-29.2252,-101.48098,5.123,0.0228,0.0009,0.0017,0.0165
57,2004-11-22,-29.21617,-101.47778,4.643,0.0215,0.0009,0.0015,0.0156
58,2004-11-23,-30.042,-98.39228,5.09,0.0272,0.0011,0.002,0.0193
59,2004-11-23,-30.03417,-98.39371,4.824,0.0261,0.0012,0.0019,0.0184
60,2004-11-24,-30.78638,-95.4272,4.47,0.057,0.0008,0.0075,0.0298
61,2004-11-24,-30.7749,-95.4446,4.835,0.0496,0.001,0.0071,0.0322
62,2004-11-24,-30.7749,-95.4446,5,0.0378,0.0007,0.0043,0.0266
63,2004-11-25,-31.42267,-92.99778,5.839,0.0434,0.0006,0.0065,0.0252
64,2004-11-26,-31.82388,-91.46046,5.569,0.0675,0.002,0.0194,0.034
65,2004-11-26,-31.84292,-91.4614,4.622,0.0638,0.0017,0.0158,0.0357
66,2004-11-27,-31.87443,-91.4097,4.279,0.0714,0.0025,0.0244,0.0331
67,2004-11-28,-31.869,-91.41518,4.471,0.0718,0.0022,0.0223,0.0352
68,2004-11-28,-31.87307,-91.43445,5.469,0.0637,0.0019,0.0172,0.032
69,2004-11-29,-31.89565,-91.36615,4.411,0.0691,0.0022,0.0228,0.0318
70,2004-12-01,-32.39545,-86.78242,5.074,0.1122,0.015,0.0634,0.0161
71,2004-12-01,-32.3951,-86.78609,5.545,0.1103,0.0134,0.0571,0.0145
72,2004-12-02,-32.68325,-84.0737,4.45,0.1288,0.0114,0.0718,0.0168
73,2004-12-02,-32.69652,-84.07425,4.201,0.1327,0.0113,0.0698,0.0185
74,2004-12-03,-33.02312,-81.20049,4.914,0.0601,0.0023,0.0158,0.0262
75,2004-12-03,-33.03723,-81.18362,5.314,0.055,0.0017,0.0128,0.0271
76,2004-12-04,-33.354,-78.11878,4.627,0.2738,0.0065,0.1395,0.0757
77,2004-12-04,-33.35608,-78.103,5.167,0.3107,0.005,0.1088,0.1358
78,2004-12-05,-33.60613,-75.83113,5.75,0.2182,0.0071,0.0508,0.119
79,2004-12-06,-34.01993,-73.35851,9.854,1.4329,0.6976,0.2827,0.2702
80,2004-12-06,-34.01993,-73.35851,4.689,1.4812,0.7337,0.2868,0.3142
81,2004-12-06,-34.01993,-73.35851,2.488,1.4602,0.71,0.2751,0.3056
82,2004-12-07,-33.9332,-73.36405,9.1,1.4823,1.0646,0.1788,0.0869
83,2004-12-07,-33.9332,-73.36405,5.177,1.3944,0.9684,0.1903,0.0958
84,2004-12-07,-33.91342,-73.36452,5.56,1.2695,0.766,0.1917,0.1443
85,2004-12-07,-33.91342,-73.36452,3.093,1.0673,0.6388,0.175,0.1398
86,2004-12-08,-33.8536,-73.31567,10.72,1.2849,0.7998,0.1804,0.1132
87,2004-12-08,-33.8536,-73.31567,4.919,1.0286,0.6039,0.1605,0.1122
88,2004-12-08,-33.8536,-73.31567,2.352,1.3412,0.8811,0.1677,0.1132
89,2004-12-09,-34.5368,-72.41227,10.255,1.0458,0.2092,0.0301,0.2849
90,2004-12-09,-34.5368,-72.41227,4.619,1.0813,0.303,0.0343,0.3136
91,2004-12-09,-34.55102,-72.38883,5.225,1.4654,0.3462,0.2165,0.2282
92,2004-12-09,-34.55102,-72.38883,2.389,0.8302,0.1905,0.094,0.1885
93,2004-12-10,-34.63292,-72.46363,5.237,1.1037,0.263,0.1296,0.2244
94,2004-12-10,-34.63292,-72.46363,2.941,1.1484,0.2833,0.1428,0.2497
95,2004-12-06,-34.01337,-73.36775,5,0.9384,0.5178,0.1503,0.1494
96,2004-12-06,-34.01522,-73.36466,5,0.9054,0.4675,0.1573,0.1539
97,2004-12-06,-34.02176,-73.36915,5,1.52,0.7384,0.3405,0.2493
98,2004-12-06,-34.01822,-73.38137,5,1.4276,0.7042,0.3038,0.2331
99,2004-12-07,-33.93476,-73.3605,5,1.3089,0.9042,0.1729,0.0996
100,2004-12-07,-33.91288,-73.36437,5,1.0832,0.6565,0.1682,0.1231
101,2004-12-07,-33.91169,-73.36832,5,0.8286,0.4225,0.158,0.1288
102,2004-12-07,-33.91694,-73.36498,5,0.9114,0.504,0.1562,0.1285
103,2004-12-08,-33.87275,-73.33312,5,1.5149,1.0067,0.2086,0.117
104,2004-12-09,-34.55509,-72.38353,5,2.7785,0.715,1.0321,0.269
105,2004-12-09,-34.55557,-72.40949,5,0.947,0.1968,0.1099,0.2026
106,2004-12-10,-34.632,-72.4567,5,1.3981,0.343,0.297,0.1698
107,2004-12-10,-34.62645,-72.47575,5,1.0865,0.2524,0.169,0.2274
108,2004-12-10,-34.6324,-72.4695,5,0.9075,0.2108,0.1033,0.1993
109,2004-12-11,-35.16378,-72.71989,5,0.8691,0.1092,0.1163,0.228
110,2004-12-11,-35.16378,-72.71989,5,0.8817,0.1092,0.1183,0.2361
111,1991-05-13,35.4311,-2.10194,3,0.309,0.1911,0.0635,0.0058
112,1991-05-13,35.4311,-2.10194,10,0.483,0.3307,0.0753,0.0088
113,1991-05-15,35.50789,-2.00338,3,0.355,0.1718,0.0809,0.0195
114,1991-05-15,35.56592,-1.57605,3,0.157,0.0502,0.0612,0.0045
115,1991-05-15,35.56592,-1.57605,8,0.2,0.0704,0.0635,0.0066
116,1991-05-18,36.23532,-1.28392,3,0.118,0.0046,0.0589,0.0271
117,1991-05-18,36.23532,-1.28392,10,0.085,0.0038,0.0306,0.0295
118,1991-05-18,36.25571,-1.26662,3,0.105,0.0054,0.0496,0.0237
119,1991-05-18,36.25571,-1.26662,10,0.069,0.0025,0.0216,0.0273
120,1991-05-19,36.23147,-1.31397,3,0.073,0.003,0.0335,0.0213
121,1991-05-19,36.23147,-1.31397,10,0.069,0.0029,0.0223,0.025
122,1991-05-19,36.24087,-1.30393,3,0.08,0.0067,0.0365,0.0214
123,1991-05-19,36.24087,-1.30393,10,0.082,0.0054,0.0297,0.0271
124,1991-05-20,36.18345,-1.48969,3,0.123,0.0226,0.0452,0.0332
125,1991-05-20,36.18345,-1.48969,10,0.114,0.0213,0.0449,0.0309
126,1991-05-20,36.14001,-1.46787,3,0.163,0.0274,0.0711,0.023
127,1991-05-20,36.14001,-1.46787,10,0.181,0.0478,0.0588,0.015
128,1991-05-22,36.05579,-1.48309,10,0.119,0.0131,0.0298,0.0518
129,1991-05-22,36.06608,-1.4603,3,0.141,0.0244,0.0363,0.0468
130,1991-05-22,36.06608,-1.4603,10,0.14,0.025,0.0362,0.0479
131,1991-05-22,36.1042,-1.3796,3,0.203,0.074,0.0571,0.0342
132,1991-05-22,36.1042,-1.3796,10,0.209,0.0719,0.0555,0.0368
133,1991-05-23,36.08645,-1.55865,3,0.263,0.1166,0.075,0.0302
134,1991-05-23,36.08645,-1.55865,10,0.244,0.1034,0.0687,0.0303
135,1991-05-23,36.10744,-1.3356,3,0.162,0.04,0.0421,0.0387
136,1991-05-23,36.10744,-1.3356,10,0.176,0.0469,0.0488,0.0428
137,1991-05-24,36.10934,-1.49673,3,0.21,0.0974,0.0562,0.0305
138,1991-05-24,36.10934,-1.49673,10,0.204,0.0959,0.054,0.024
139,1991-05-24,36.1203,-1.44524,3,0.204,0.0889,0.0749,0.0266
140,1991-05-24,36.1203,-1.44524,10,0.169,0.075,0.0594,0.0228
141,1991-05-25,36.12722,-1.41837,3,0.182,0.0709,0.0672,0.0244
142,1991-05-25,36.12722,-1.41837,10,0.17,0.0648,0.0644,0.0242
143,1998-01-02,36.26523,-1.00625,5,0.9048,0.3182,0.2816,0.0375
144,1998-01-02,36.26523,-1.00625,10,0.9142,0.3264,0.2845,0.0374
145,1998-01-02,36.26044,-0.59256,5,0.9969,0.3694,0.2719,0.0456
146,1998-01-02,36.26044,-0.59256,10,0.9695,0.348,0.2737,0.0483
147,1998-01-02,36.28579,-0.56712,5,0.8307,0.2217,0.2621,0.0616
148,1998-01-02,36.28579,-0.56712,10,0.8309,0.2051,0.2624,0.0655
149,1998-01-03,36.25846,-0.51021,5,0.9791,0.4151,0.3162,0.0407
150,1998-01-03,36.25846,-0.51021,10,1.0419,0.4312,0.3119,0.0402
151,1998-01-03,36.25634,-0.49536,5,1.1849,0.4747,0.2954,0.0554
152,1998-01-03,36.25634,-0.49536,10,1.1801,0.4876,0.2997,0.0556
153,1998-01-04,36.20781,-0.46814,5,0.7195,0.2711,0.2268,0.0237
154,1998-01-04,36.20781,-0.46814,10,0.7172,0.2497,0.2427,0.0263
155,1998-01-04,36.19535,-0.42831,5,0.6888,0.1824,0.2667,0.046
156,1998-01-04,36.19535,-0.42831,10,0.7225,0.2027,0.278,0.0456
157,1998-01-04,36.1963,-0.38431,5,0.8429,0.2675,0.295,0.041
158,1998-01-05,36.18462,-0.28281,5,0.5625,0.1011,0.2365,0.0413
159,1998-01-05,36.1812,-0.25645,5,0.64,0.1365,0.2475,0.0506
160,1998-01-06,36.12377,-0.39964,5,0.5219,0.1192,0.213,0.0309
161,1998-01-06,36.12674,-0.3868,5,0.6759,0.1757,0.237,0.0425
162,1998-01-06,36.13287,-0.35333,5,0.6694,0.2378,0.2273,0.0299
163,1998-01-06,36.13287,-0.35333,10,0.653,0.2892,0.2015,0.0172
164,1998-01-07,36.10244,-0.30226,5,0.5681,0.1877,0.2032,0.0296
165,1998-01-07,36.09597,-0.2889,5,0.6193,0.1753,0.2272,0.0506
166,1998-01-07,36.09597,-0.2889,10,0.6741,0.2021,0.2494,0.052
167,1998-01-08,36.35045,-0.19995,5,0.6376,0.2927,0.1896,0.0342
168,1998-01-08,36.35045,-0.19995,10,0.8468,0.3648,0.2598,0.0384
169,1998-01-08,36.34423,-0.17819,5,0.7566,0.3676,0.1933,0.0452
170,1998-01-08,36.33194,-0.15215,5,0.4205,0.1184,0.1536,0.047
171,1998-01-08,36.33194,-0.15215,10,0.7874,0.3712,0.1922,0.0387
172,1998-01-09,36.30567,-0.10484,5,0.9062,0.208,0.3992,0.0618
173,1998-01-09,36.30567,-0.10484,10,0.8784,0.1913,0.3785,0.0554
174,1998-01-09,36.30804,-0.08445,10,0.7038,0.1876,0.2797,0.0699
175,1998-01-12,36.51686,-0.31711,5,0.2618,0.0304,0.1118,0.0863
176,1998-01-12,36.51686,-0.31711,10,0.266,0.0372,0.1098,0.0835
177,1998-01-12,36.51871,-0.31041,5,0.2571,0.0382,0.0977,0.0892
178,1998-01-12,36.51871,-0.31041,10,0.2522,0.0306,0.1009,0.0874
179,1998-01-13,36.52174,-0.31598,5,0.2018,0.0168,0.0885,0.0733
180,1998-01-13,36.52174,-0.31598,10,0.211,0.0201,0.0891,0.0742
181,1998-01-13,36.51978,-0.31194,5,0.2327,0.0249,0.0922,0.0907
182,1998-01-13,36.51978,-0.31194,10,0.2486,0.0249,0.1011,0.0881
183,1997-12-25,35.47791,-1.53887,5,0.6603,0.131,0.2778,0.0564
184,1997-12-26,36.00286,-1.5492,5,0.5207,0.1306,0.2218,0.0272
185,1997-12-27,36.3312,-0.57848,5,0.3779,0.0491,0.1955,0.0369
186,1997-12-27,36.3312,-0.57848,10,0.3814,0.0444,0.1983,0.0377
187,1997-12-27,36.22497,-0.57425,5,0.3207,0.0511,0.1722,0.0221
188,1997-12-27,36.32644,-0.57422,5,0.3374,0.0465,0.1806,0.0388
189,1997-12-27,36.32644,-0.57422,10,0.3393,0.0486,0.1885,0.0378
190,1997-12-28,36.32945,-0.56432,5,0.304,0.043,0.1588,0.0379
191,1997-12-28,36.3334,-0.55969,5,0.3723,0.0449,0.1887,0.0496
192,1997-12-28,36.3334,-0.55969,10,0.3735,0.045,0.1906,0.046
193,1997-12-29,36.04701,-1.26816,5,0.6599,0.2281,0.2386,0.0225
194,1997-12-29,36.05817,-1.25907,5,0.8171,0.261,0.319,0.0324
195,1997-12-29,36.08696,-1.24803,5,0.6564,0.1662,0.2529,0.0315
196,1997-12-30,36.12806,-1.21807,5,0.5353,0.1668,0.2143,0.0245
197,1997-12-30,36.12806,-1.21807,10,0.5325,0.1591,0.2202,0.0254
198,1997-12-30,36.13948,-1.20848,5,0.5893,0.0753,0.2928,0.0621
199,1997-12-30,36.13948,-1.20848,10,0.6289,0.0801,0.3022,0.0646
200,1997-12-30,36.15189,-1.19522,5,0.6713,0.0712,0.2984,0.0761
