Biological Process,Sample 1 Cellular Components Count,Sample 2 Cellular Components Count,Sample 3 Cellular Components Count,Sample 4 Cellular Components Count
GO:0009772,120769,81634,94808,111282
GO:0019684,131862,88145,103346,120265
GO:0046718,19390,17705,16157,22561
GO:0006260,17810,15133,15249,19107
GO:0009767,11083,6510,8518,8970
GO:0019048,9994,9123,8323,11355
GO:0046797,9760,8991,8198,11303
GO:0015979,16563,8919,12887,12607
GO:0055085,14559,11241,12868,10358
GO:0006468,8178,8128,6461,6199
GO:0009060,6650,5637,4043,5731
GO:0055114,72057,55312,61146,52365
GO:0015977,6759,4507,5309,5607
GO:0000160,6998,5267,6933,4963
GO:0019069,5716,5222,4760,6626
GO:0008152,33316,25682,31125,23152
GO:0006355,16210,9810,14768,10081
GO:0015696,3662,1408,5803,2415
GO:0019073,3488,3083,2931,4102
GO:0006457,9567,6098,5159,3929
GO:0006810,23872,15124,23189,14469
GO:0006351,15371,6124,13659,6469
GO:0015991,5022,2687,3536,3474
GO:0006352,6490,4264,5773,4122
GO:0006950,3948,4557,2058,3833
GO:0009058,6006,4232,5779,4021
GO:0015992,4031,2299,3156,2492
GO:0046034,2262,1183,1676,1386
GO:0015986,6439,3283,4281,3746
GO:0006730,2028,1339,1437,1124
GO:0007264,1985,1749,1259,1517
GO:0006412,38042,17507,27327,17133
GO:0007155,2250,1193,2166,1289
GO:0045454,2615,1612,1997,1482
GO:0006508,12871,10576,10977,8876
GO:0006807,2802,1642,2578,1405
GO:0015031,2429,1223,2105,1213
GO:0000413,1378,940,997,833
GO:0006418,4189,2627,3744,2342
GO:0006629,1700,1274,1441,1230
GO:0016226,1866,506,1487,583
GO:0071973,1920,1444,1840,1324
GO:0022904,997,692,718,985
GO:0051603,984,687,606,603
GO:0005975,8131,5976,7343,5436
GO:0006979,1251,806,1036,800
GO:0007165,2164,2157,2180,1568
GO:0016032,862,1140,434,759
GO:0019082,858,1138,434,759
GO:0006096,3777,3298,2824,2656
GO:0006801,1474,476,1183,674
GO:0016310,1985,1906,1628,1917
GO:0006094,2028,1867,1238,1504
GO:0006879,769,851,478,399
GO:0009190,760,670,797,608
GO:0035556,810,723,817,659
GO:0006414,1013,498,725,427
GO:0019752,1022,840,724,787
GO:0009116,968,634,926,639
GO:0006413,2010,985,1518,849
GO:0006520,2002,1852,1748,1957
GO:0009306,1102,734,1093,698
GO:0006310,1355,1192,1388,938
GO:0015074,1412,1502,1562,1187
GO:0017038,1089,548,795,463
GO:0019538,662,530,492,436
GO:0006265,2357,1299,2025,1206
GO:0006546,609,457,571,344
GO:0000902,619,291,582,342
GO:0042254,707,385,527,334
GO:0007018,1020,1672,736,913
GO:0006537,593,313,473,272
GO:0006808,572,190,694,256
GO:0006812,913,790,956,712
GO:0006313,1580,1484,1626,1196
GO:0006281,1321,904,1267,920
GO:0009432,537,262,498,324
GO:0039694,533,396,389,315
GO:0006164,768,428,699,427
GO:0006419,487,278,378,240
GO:0043039,850,566,795,422
GO:0006109,522,243,448,309
GO:0006402,489,225,400,281
GO:0006556,1367,1022,1079,887
GO:0015708,481,108,392,490
GO:0008299,716,385,689,430
GO:0016579,471,532,294,345
GO:0006631,918,750,724,697
GO:0009396,796,729,629,526
GO:0017004,750,366,698,507
GO:0006614,868,487,764,466
GO:0006886,1544,1343,1024,1066
GO:0016192,1212,1142,765,924
GO:0006165,433,311,285,233
GO:0006183,433,311,285,233
GO:0006228,433,311,285,233
GO:0006241,433,311,285,233
GO:0044238,429,259,405,286
GO:0006099,749,448,642,397
GO:0009245,607,366,603,386
GO:0007156,422,445,359,406
GO:0006542,405,226,384,183
GO:0006817,407,511,253,553
GO:0006749,397,362,508,362
GO:0042558,387,290,356,262
GO:0022900,413,220,301,325
GO:0006529,447,442,401,456
GO:0006811,443,506,342,382
GO:0006526,480,251,359,223
GO:0007186,489,532,281,417
GO:0007154,361,282,383,267
GO:0009082,354,139,261,141
GO:0006221,366,204,284,186
GO:0031554,351,146,242,107
GO:0046854,332,230,334,212
GO:0009228,380,199,355,217
GO:0009186,323,152,270,156
GO:0000103,319,204,286,150
GO:0008652,325,172,270,148
GO:0008272,314,235,249,202
GO:0000105,913,514,848,473
GO:0015833,305,214,381,214
GO:0006779,431,380,347,300
GO:0009165,351,172,273,136
GO:0006097,296,268,252,299
GO:0006605,305,153,242,129
GO:0008033,917,552,748,497
GO:0042549,598,373,415,412
GO:0006555,287,274,245,194
GO:0006633,869,549,773,514
GO:0030163,310,163,288,182
GO:0009435,354,189,300,201
GO:0019288,275,114,192,135
GO:0050992,275,114,192,135
GO:0044341,267,368,216,295
GO:0006836,268,328,208,247
GO:0006464,478,528,399,445
GO:0006415,520,307,481,260
GO:0006139,448,295,444,222
GO:0015948,399,402,333,293
GO:0006814,752,600,775,505
GO:0032328,258,169,291,153
GO:0009073,414,202,355,232
GO:0001522,489,336,479,301
GO:0009451,628,416,652,377
GO:0008610,237,114,202,127
GO:0009231,601,314,545,304
GO:0050821,217,81,96,145
GO:0015940,322,181,274,205
GO:0016114,481,283,514,275
GO:0051205,214,67,163,65
GO:0006353,332,163,251,130
GO:0042274,207,108,137,70
GO:0033014,604,327,526,328
GO:0006098,200,105,158,151
GO:0006420,309,197,243,148
GO:0006306,289,240,340,234
GO:0019551,192,127,231,148
GO:0006796,192,145,132,110
GO:0006935,374,332,364,239
GO:0042128,260,170,308,197
GO:0006396,832,662,760,526
GO:0003333,185,275,211,222
GO:0006021,179,138,147,114
GO:0008654,499,359,491,383
GO:0042773,348,182,343,272
GO:0007034,176,153,109,116
GO:0006511,514,453,298,403
GO:0016051,285,132,297,123
GO:0009098,168,83,134,75
GO:0051301,185,146,248,160
GO:0010124,165,189,87,164
GO:0006869,189,193,28,189
GO:0006470,304,276,154,211
GO:0006231,214,137,188,126
GO:0006397,229,186,122,176
GO:0071704,158,115,146,87
GO:0006006,271,172,238,173
GO:0006835,151,173,202,137
GO:0046080,150,119,144,89
GO:0006189,149,77,138,87
GO:0006334,239,407,166,232
GO:0044237,170,122,170,130
GO:0006741,148,91,133,104
GO:0006813,222,196,225,171
GO:0030001,451,323,423,317
GO:0007017,145,200,61,128
GO:0008616,300,220,302,179
GO:0006820,157,176,113,135
GO:0006207,143,93,138,75
GO:0009086,245,143,242,163
GO:0006084,189,225,143,173
GO:0006783,139,82,123,85
GO:0006364,615,353,426,326
GO:0032259,164,118,147,103
GO:0032784,233,118,219,108
GO:0042819,163,124,115,125
GO:0042823,163,124,115,125
GO:0015936,127,110,122,112
GO:0019441,167,137,230,142
GO:0017000,126,132,182,117
GO:0006486,209,239,125,178
GO:0006568,213,158,222,110
GO:0009089,281,175,230,141
GO:0006855,123,133,151,135
GO:0006284,224,161,250,136
GO:0006571,120,51,99,54
GO:0019439,133,122,136,108
GO:0006400,172,103,159,80
GO:0006298,355,292,395,267
GO:0006777,292,177,295,170
GO:0006071,184,112,203,118
GO:0006432,191,108,158,89
GO:0015774,127,80,132,74
GO:0006904,117,103,59,77
GO:0043043,109,49,99,55
GO:0006270,124,74,127,87
GO:0006275,199,163,185,161
GO:0006426,195,161,206,116
GO:0006729,106,49,95,52
GO:0009253,175,125,218,147
GO:0008615,179,127,167,124
GO:0042398,103,93,121,103
GO:0015937,121,69,81,52
GO:0005992,138,111,94,96
GO:0019475,102,77,96,80
GO:0009249,102,57,96,53
GO:0042158,102,57,96,53
GO:0015684,122,80,126,77
GO:0051262,98,50,63,34
GO:0005976,91,40,83,35
GO:0017013,90,89,122,93
GO:0008612,90,47,78,51
GO:0009052,87,43,75,50
GO:0006177,86,66,83,41
GO:0006559,86,109,75,88
GO:0006570,86,109,75,88
GO:0010498,86,43,77,49
GO:0019941,86,43,77,49
GO:0051304,84,57,92,48
GO:0009094,83,55,83,40
GO:0006541,123,85,125,94
GO:0006821,83,87,88,62
GO:0002143,82,74,52,34
GO:0006120,83,39,80,47
GO:0019079,89,63,79,106
GO:0009166,80,43,86,46
GO:0006784,80,54,94,64
GO:0006075,80,30,34,23
GO:0006007,77,45,78,49
GO:0046168,77,68,84,67
GO:0006523,76,40,70,35
GO:0017003,76,47,50,50
GO:0015969,76,49,82,56
GO:0009103,78,33,56,29
GO:0016311,72,40,57,38
GO:0032324,109,107,118,93
GO:0035023,70,84,40,64
GO:0006450,68,30,63,32
GO:0045017,68,85,59,81
GO:0006885,67,53,100,46
GO:0006452,65,45,58,57
GO:0045901,65,45,58,57
GO:0045905,65,45,58,57
GO:0009113,122,74,125,78
GO:0008643,113,53,85,85
GO:0046411,64,16,57,52
GO:0006304,104,79,132,75
GO:0006888,125,103,62,65
GO:0046488,62,51,34,48
GO:0019478,62,50,53,41
GO:0016573,62,70,38,40
GO:0006725,162,83,181,107
GO:0006865,60,51,79,46
GO:0006479,60,104,38,79
GO:0000398,156,139,81,91
GO:0051016,76,82,45,53
GO:0042619,57,92,46,79
GO:0030259,55,41,55,42
GO:0016052,54,45,53,31
GO:0010038,60,48,54,29
GO:0006665,78,57,80,47
GO:0010024,52,18,54,26
GO:0051156,52,37,47,33
GO:0007015,52,62,12,34
GO:0019385,51,15,23,19
GO:0006750,173,160,148,100
GO:0009401,140,84,149,94
GO:0042147,51,61,32,47
GO:0006545,50,32,66,35
GO:0009294,50,52,65,43
GO:0016567,72,84,40,67
GO:0006040,49,48,52,35
GO:0009254,58,56,61,42
GO:1902604,47,33,53,43
GO:0042256,46,51,39,47
GO:0006760,45,26,47,18
GO:0006013,45,54,25,34
GO:0032012,45,54,36,49
GO:0046417,44,29,39,26
GO:0030435,45,29,44,39
GO:0005985,44,35,44,22
GO:0006694,51,38,31,36
GO:0009236,236,179,181,107
GO:0006952,47,56,54,58
GO:0008284,43,50,50,55
GO:0045892,69,48,64,55
GO:0002949,43,28,47,34
GO:0015813,42,28,29,30
GO:0006064,79,46,66,50
GO:0031167,41,35,34,29
GO:0018279,41,31,10,25
GO:0009394,40,13,31,16
GO:0006788,40,7,42,22
GO:0034220,58,32,41,50
GO:0033539,39,34,29,55
GO:0006535,39,22,37,26
GO:0019281,37,27,41,22
GO:0015703,36,30,42,35
GO:0006744,46,44,51,34
GO:0032775,37,25,41,17
GO:0008360,46,24,51,23
GO:0007049,115,82,98,72
GO:0008295,56,37,49,38
GO:0051260,35,36,18,28
GO:0006621,35,32,20,28
GO:0006308,51,35,47,33
GO:0006928,53,54,55,56
GO:0044781,39,31,34,35
GO:0006303,35,21,47,19
GO:0009267,34,37,39,34
GO:0009446,34,36,39,31
GO:0030041,33,26,26,25
GO:0034314,97,72,56,63
GO:0000723,40,32,29,29
GO:0006012,48,40,34,40
GO:0030833,64,46,30,38
GO:0006505,32,30,27,27
GO:0018189,32,6,29,14
GO:0015727,31,19,29,17
GO:0006030,30,23,22,30
GO:0015886,36,27,30,20
GO:0005978,30,52,25,35
GO:0006433,30,15,24,20
GO:0006438,30,17,27,19
GO:0046907,29,49,26,33
GO:0046653,29,12,22,10
GO:0006000,28,27,34,24
GO:0034755,27,18,14,4
GO:0018193,26,35,28,28
GO:0007010,57,56,30,51
GO:0035429,26,23,32,20
GO:0005991,26,16,18,23
GO:0016037,25,14,15,17
GO:0005996,25,9,16,6
GO:0006379,25,10,4,8
GO:0006188,67,46,55,38
GO:0016598,42,34,28,18
GO:0009308,35,26,31,22
GO:0043087,24,27,13,20
GO:0006289,45,29,47,29
GO:0016117,23,5,15,9
GO:0015672,25,32,23,16
GO:0051056,23,22,13,14
GO:0046439,22,22,18,24
GO:0006878,22,4,20,6
GO:0000917,30,9,22,13
GO:0046677,30,41,12,28
GO:0030488,23,15,15,24
GO:0043401,22,31,16,28
GO:0006606,23,35,11,14
GO:0006376,22,32,7,14
GO:0015689,24,31,24,27
GO:0009298,22,25,13,26
GO:0006401,22,12,15,15
GO:0009117,27,13,17,9
GO:0006004,40,22,24,20
GO:0006032,21,14,9,10
GO:0016998,43,23,25,26
GO:0009056,21,8,18,10
GO:0006597,21,14,13,18
GO:0010207,35,20,32,25
GO:0043419,21,6,14,6
GO:0050920,20,13,19,12
GO:0000079,20,31,10,24
GO:0006897,20,5,8,6
GO:0015628,20,13,20,17
GO:0010033,20,13,14,12
GO:0061024,20,13,14,12
GO:0009307,26,19,25,10
GO:0006527,34,13,16,17
GO:0009405,32,27,32,13
GO:0006333,18,11,10,12
GO:0030244,21,16,16,9
GO:0019299,33,24,37,27
GO:0017187,18,7,21,11
GO:0006282,17,8,13,9
GO:0019295,16,5,10,7
GO:0009247,19,13,6,22
GO:0019310,16,30,19,19
GO:0015995,26,6,13,13
GO:0046373,18,14,17,6
GO:0009403,15,24,37,21
GO:0017009,21,1,13,4
GO:0006423,15,14,25,8
GO:0019646,15,12,14,16
GO:0006481,15,14,19,14
GO:0019354,15,23,27,10
GO:0007076,14,17,9,14
GO:0009072,14,19,13,10
GO:0044780,14,16,28,7
GO:0031388,14,15,18,14
GO:0009966,17,20,14,10
GO:0043666,14,17,11,8
GO:0006378,14,8,3,3
GO:0043631,17,27,10,15
GO:0070206,14,6,10,5
GO:0000256,25,31,79,30
GO:0009411,14,1,9,2
GO:0000271,21,13,14,5
GO:0006742,13,5,2,2
GO:0019363,13,5,2,2
GO:0045747,13,14,7,10
GO:0071436,13,3,9,2
GO:0006471,16,19,4,16
GO:0006465,24,16,11,10
GO:0019605,12,5,6,7
GO:0006672,12,12,9,9
GO:0019370,12,2,3,10
GO:0032955,12,5,14,5
GO:0006388,18,15,24,19
GO:0000041,11,6,17,10
GO:0030245,23,12,17,20
GO:0008218,18,6,13,8
GO:0015693,11,9,6,6
GO:0007160,11,5,9,6
GO:0051276,11,7,11,8
GO:0006122,12,14,8,11
GO:0031221,10,10,5,8
GO:0055070,10,7,15,7
GO:0006827,10,4,13,7
GO:0048870,10,32,8,20
GO:0006809,10,6,1,4
GO:0043248,11,20,9,13
GO:0006659,10,12,5,14
GO:0051775,10,4,4,7
GO:0031204,10,6,1,4
GO:0006259,17,12,8,9
GO:0050909,11,15,18,21
GO:0006635,9,8,5,10
GO:0051259,16,2,11,7
GO:0051188,9,5,10,3
GO:0019645,9,19,14,7
GO:0000272,15,11,22,18
GO:0006683,9,11,13,9
GO:0016042,15,3,13,4
GO:0042545,9,166,6,6
GO:0006213,9,4,10,6
GO:2001256,9,4,4,3
GO:0000184,11,17,11,10
GO:0006525,11,5,10,8
GO:0015878,8,11,27,7
GO:0006269,16,32,14,26
GO:0007166,8,34,2,15
GO:0006506,20,20,8,10
GO:0034258,8,2,4,9
GO:1901031,8,14,3,6
GO:0018342,8,4,11,9
GO:0080009,8,5,2,2
GO:0007608,7,5,3,5
GO:0048193,10,17,5,9
GO:0032957,7,11,2,3
GO:0043165,7,3,2,3
GO:0001510,7,5,5,8
GO:0009452,7,5,5,8
GO:0006368,14,26,8,20
GO:0016570,11,25,8,19
GO:0042176,7,10,8,6
GO:0032297,7,11,4,2
GO:0000226,7,13,7,9
GO:0090063,7,13,6,9
GO:0015700,6,4,4,6
GO:0046685,6,5,6,5
GO:0006461,12,6,2,2
GO:0006891,6,1,3,5
GO:0070836,6,7,5,21
GO:0035434,6,6,1,3
GO:0009439,6,3,10,2
GO:0007205,6,20,7,9
GO:0032780,6,4,1,9
GO:0006190,6,6,4,2
GO:0042262,6,3,6,0
GO:0035444,6,4,9,4
GO:0008063,6,9,0,2
GO:0046938,6,9,6,5
GO:0043683,6,5,6,4
GO:0006493,6,2,4,5
GO:0070588,6,24,2,9
GO:0006887,16,16,11,18
GO:0048278,6,7,3,9
GO:0006338,13,18,4,12
GO:0007275,12,16,7,14
GO:0006323,6,9,14,6
GO:0019627,6,4,1,2
GO:0018142,6,5,2,5
GO:0010468,5,0,2,1
GO:0000045,5,2,0,2
GO:0006914,5,10,0,5
GO:0016043,5,8,1,5
GO:0019491,5,1,5,5
GO:0006024,7,11,1,5
GO:0015012,5,10,1,3
GO:0007623,5,0,3,0
GO:0016480,5,11,2,5
GO:0006357,17,19,5,14
GO:0051302,5,7,6,5
GO:0006850,5,6,9,6
GO:0009264,5,5,5,3
GO:0009159,5,7,5,3
GO:0009271,5,7,4,6
GO:0008645,5,2,4,2
GO:0009229,5,6,4,1
GO:0051694,5,11,1,8
GO:0006171,5,2,2,2
GO:0009607,6,12,10,7
GO:0031124,4,1,2,1
GO:0034194,4,2,6,0
GO:0006488,4,1,3,1
GO:0009252,4,5,2,1
GO:1902209,4,11,2,2
GO:0007169,4,0,0,1
GO:0000042,4,2,2,1
GO:0042073,4,16,0,10
GO:0042742,4,1,4,4
GO:0019054,4,3,4,6
GO:0006051,4,2,4,2
GO:0018298,6,6,6,10
GO:0016559,4,3,1,5
GO:0034968,5,6,1,0
GO:0019402,4,1,3,0
GO:0006366,6,10,4,3
GO:0006367,18,20,6,12
GO:0071705,4,4,4,3
GO:0016055,4,10,1,8
GO:0006066,3,0,1,0
GO:0042919,3,4,1,3
GO:0015803,3,6,0,1
GO:0006276,3,2,0,4
GO:0046688,3,4,6,2
GO:0001503,3,3,1,0
GO:0030198,3,3,1,0
GO:0045947,3,11,1,6
GO:0043066,3,3,0,1
GO:0007050,3,14,7,8
GO:0046836,3,2,4,6
GO:0016568,3,0,0,3
GO:0006182,3,6,4,4
GO:0009372,5,1,4,0
GO:0009312,3,3,7,9
GO:0071555,3,1,2,1
GO:0001558,3,2,1,1
GO:0008380,3,1,2,8
GO:0006487,4,18,2,10
GO:0007218,3,4,0,5
GO:0001514,3,11,3,6
GO:0032968,3,6,0,2
GO:0030150,3,2,1,4
GO:0002128,3,0,1,0
GO:0006425,3,4,0,1
GO:0046931,2,0,1,0
GO:0052331,2,0,1,0
GO:0042981,2,4,2,3
GO:0006825,2,4,2,5
GO:0009415,2,5,6,6
GO:0009235,2,6,4,4
GO:0048013,2,0,1,2
GO:0019217,2,0,1,1
GO:0006106,2,1,2,7
GO:0016973,2,0,1,0
GO:0009246,2,1,0,1
GO:0036065,2,1,0,1
GO:0016255,4,7,4,6
GO:0043044,2,7,3,5
GO:0007267,2,1,0,3
GO:0030908,3,0,1,0
GO:0007009,2,3,0,7
GO:0048511,2,0,7,2
GO:0030416,2,5,7,1
GO:0071929,2,6,0,0
GO:0015694,2,2,1,2
GO:0016070,4,2,4,6
GO:0006370,3,4,5,6
GO:0006302,2,2,1,1
GO:0010167,2,1,0,0
GO:0015706,2,1,0,0
GO:0033198,2,7,0,6
GO:0098655,2,7,0,6
GO:0019068,2,5,5,5
GO:0019634,3,2,3,1
GO:0009584,2,0,4,1
GO:0050790,2,12,0,5
GO:0033227,2,7,1,2
GO:0048544,2,0,1,0
GO:0009291,2,5,6,3
GO:0007016,2,10,0,4
GO:0007021,2,10,2,3
GO:0007283,2,2,1,1
GO:0043161,2,2,2,5
GO:0000012,2,2,0,1
GO:0045151,1,4,2,1
GO:0019836,1,0,0,0
GO:0015743,1,0,0,0
GO:0030071,1,2,2,0
GO:0042157,1,1,1,0
GO:0010508,1,0,0,0
GO:0043461,1,4,1,3
GO:0030153,1,1,1,0
GO:0000724,1,0,0,0
GO:0019722,1,5,0,0
GO:0050708,1,2,3,3
GO:0071816,1,0,0,1
GO:0006031,1,0,1,0
GO:0031144,1,0,0,0
GO:0071630,1,0,0,0
GO:0009972,1,0,0,1
GO:0000290,1,3,0,1
GO:0043085,1,4,0,3
GO:0015740,1,0,6,1
GO:0009712,1,3,8,0
GO:0030036,1,10,0,7
GO:0061136,1,2,0,0
GO:0016125,1,0,1,0
GO:0009636,1,0,0,0
GO:0045893,1,1,6,4
GO:1902208,1,0,1,0
GO:0034453,1,3,0,0
GO:0007005,1,3,0,0
GO:0019236,1,1,0,0
GO:0031412,1,1,2,2
GO:0000122,1,1,0,1
GO:0008203,1,0,0,0
GO:0034477,1,0,0,0
GO:0007059,2,0,1,0
GO:0071805,1,4,2,4
GO:0001919,1,0,0,0
GO:0007040,1,0,0,0
GO:0032008,1,0,0,0
GO:0032439,1,0,0,0
GO:0042632,1,0,0,0
GO:0043410,1,0,0,0
GO:0071230,1,0,0,0
GO:0007094,1,1,1,0
GO:0010826,1,11,0,5
GO:0042384,1,13,1,7
GO:0006480,1,5,2,3
GO:0019670,1,0,1,3
GO:0000002,1,0,2,1
GO:0006955,3,95,3,41
GO:0019882,1,0,1,0
GO:0007219,1,2,0,1
GO:0017148,1,0,1,0
GO:0042710,1,0,3,0
GO:0030261,1,0,0,0
GO:0042246,1,0,0,2
GO:0007067,1,1,0,2
GO:0006695,1,1,0,0
GO:0018101,1,1,0,0
GO:0006516,1,2,0,0
GO:0007031,1,0,1,2
GO:0019700,1,1,0,1
GO:0042916,1,1,0,1
GO:0009611,1,1,2,4
GO:0030328,1,0,1,1
GO:0006359,1,5,0,2
GO:0006890,1,0,0,6
GO:0006384,1,0,0,0
GO:0009847,1,0,0,1
GO:0006858,1,1,1,0
GO:0051090,1,0,0,0
GO:0040007,1,0,2,1
GO:0035307,1,1,0,3
GO:0046856,1,0,0,1
GO:0018149,2,1,2,0
GO:0046999,1,2,0,2
GO:0000746,1,3,2,3
GO:0043547,1,1,0,0
GO:0048280,1,2,1,0
GO:0071918,1,3,0,4
GO:0006650,1,2,0,1
GO:0045765,1,4,0,1
GO:0019076,1,16,1,1
GO:0032801,1,16,1,1
GO:0048024,1,0,1,1
GO:0051726,0,8,3,6
GO:0008053,0,4,0,0
GO:0046660,0,4,0,0
GO:0051297,0,3,0,0
GO:0006547,0,3,0,0
GO:0051479,0,3,1,0
GO:0034227,0,3,1,0
GO:0031145,0,2,1,0
GO:0043571,0,2,0,1
GO:0019251,0,2,4,1
GO:0019915,0,2,0,1
GO:0009297,0,2,1,0
GO:0016485,0,1,1,3
GO:0019748,0,1,0,0
GO:0031175,0,1,0,0
GO:0045227,0,1,2,2
GO:0009690,0,1,0,0
GO:0007099,0,1,0,0
GO:0045116,0,1,1,2
GO:0034229,0,1,1,0
GO:0007172,0,1,0,0
GO:0009890,0,1,0,0
GO:0023052,0,1,0,1
GO:0019058,0,1,2,5
GO:0000077,0,1,1,1
GO:0019988,0,1,2,1
GO:0000001,0,1,0,0
GO:0030154,0,1,0,1
GO:0006198,0,1,2,2
GO:0045490,0,1,1,0
GO:0016560,0,1,0,0
GO:0015716,0,1,0,0
GO:0009395,0,1,0,17
GO:0001682,0,1,0,0
GO:0042325,0,1,0,1
GO:0030431,0,1,0,0
GO:0032222,0,1,0,0
GO:1903818,0,1,0,0
GO:0006874,0,1,0,2
GO:0031110,0,1,0,3
GO:0006974,0,1,0,1
GO:0048478,0,1,0,1
GO:0051289,0,1,0,1
GO:0030255,0,1,2,1
GO:0010972,0,0,2,0
GO:0030336,0,0,2,0
GO:0009399,0,0,2,0
GO:0070475,0,0,2,2
GO:0015711,0,0,1,0
GO:0097588,0,0,1,0
GO:0048598,0,0,1,0
GO:0050832,0,0,1,0
GO:0019685,0,0,1,1
GO:0030494,0,0,1,1
GO:0006826,0,0,1,3
GO:0009877,0,0,1,1
GO:0000281,0,0,1,0
GO:0040001,0,0,1,0
GO:0006576,0,0,1,1
GO:0030436,0,0,1,0
GO:0043934,0,0,1,0
GO:0007128,0,0,1,1
GO:0007130,0,0,1,1
GO:0070193,0,0,1,1
GO:0030682,0,0,1,0
GO:0071229,0,0,1,0
GO:0002218,0,0,0,22
GO:0032481,0,0,0,22
GO:0033617,0,0,0,2
GO:0007029,0,0,0,2
GO:0043065,0,0,0,1
GO:0015996,0,0,0,1
GO:0051191,0,0,0,1
GO:0009059,0,0,0,1
GO:0007338,0,0,0,1
GO:0007423,0,0,0,1
GO:0090305,0,0,0,1
GO:0045493,0,0,0,1
GO:0006778,0,0,0,1
GO:0007268,0,0,0,1
GO:0006383,0,0,0,1
GO:0051028,0,0,0,1
GO:0045040,0,0,0,1
GO:0070072,0,0,0,1
GO:0009755,0,0,0,0
GO:0090266,0,0,0,0
GO:0051321,0,0,0,0
GO:0034508,0,0,0,0
GO:0007224,0,0,0,0
GO:0009250,0,0,0,0
GO:0032006,0,0,0,0
GO:0009878,0,0,0,0
GO:0000390,0,0,0,0
GO:0060567,0,0,0,0
GO:0010923,0,0,0,0
GO:0042173,0,0,0,0
GO:0015888,0,0,0,0
GO:0043093,0,0,0,0
GO:0019083,0,0,0,0
GO:0007517,0,0,0,0
GO:0015889,0,0,0,0
GO:0009404,0,0,0,0
GO:0019290,0,0,0,0
GO:0006626,0,0,0,0
GO:0020012,0,0,0,0
