Cellular Components,Sample 1 Cellular Components Count,Sample 2 Cellular Components Count,Sample 3 Cellular Components Count,Sample 4 Cellular Components Count
GO:0019028,44215,40371,37223,51481
GO:0009521,11083,6510,8518,8970
GO:0016020,53266,34360,47709,37892
GO:0009522,11435,6798,8351,8425
GO:0009579,9985,6463,7165,7453
GO:0016021,36897,27237,28731,27567
GO:0046729,5715,5222,4759,6626
GO:0005737,6814,4113,4589,3007
GO:0033178,2799,1516,1879,1659
GO:0030288,2899,1804,3100,1796
GO:0033177,1910,895,1475,1548
GO:0005622,22727,11431,16309,10929
GO:0005840,37326,17307,26709,16772
GO:0045263,1648,804,1024,855
GO:0016459,2002,1996,783,1124
GO:0045261,1916,1036,1306,1057
GO:0030089,1328,421,1997,1653
GO:0005839,984,687,606,603
GO:0000015,1086,954,761,703
GO:0009523,2568,1120,1755,1794
GO:0005615,890,715,911,578
GO:0009538,1390,322,1105,896
GO:0005783,608,593,298,420
GO:0030117,549,532,358,419
GO:0005694,594,328,505,282
GO:0030286,425,947,298,374
GO:0009654,544,379,341,368
GO:0019898,510,376,323,364
GO:0009539,884,270,656,675
GO:0005886,439,342,519,378
GO:0031361,270,160,190,196
GO:0033179,261,230,153,226
GO:0015934,482,274,307,318
GO:0009289,238,118,300,161
GO:0005634,1152,1879,848,1043
GO:0048500,229,130,174,107
GO:0019867,569,407,511,371
GO:0009360,481,202,445,225
GO:0009317,154,72,142,88
GO:0043190,217,181,250,175
GO:0000786,151,239,124,179
GO:0019031,147,335,138,121
GO:0005875,145,200,61,128
GO:0009349,140,66,168,74
GO:0005853,136,85,60,78
GO:0000159,133,156,69,99
GO:0019008,99,60,99,57
GO:0005882,95,82,38,59
GO:0019773,95,48,42,48
GO:0031012,127,102,108,114
GO:0009512,220,63,146,154
GO:0042597,164,136,186,97
GO:0043231,81,50,111,69
GO:0000148,80,30,34,23
GO:0009288,193,113,163,119
GO:0031514,79,114,92,102
GO:0009428,64,68,89,57
GO:0030127,109,89,50,49
GO:0005921,62,90,22,61
GO:0019012,61,18,74,27
GO:0008290,76,82,45,53
GO:0005852,126,148,67,90
GO:0030904,51,58,30,44
GO:0000139,50,39,29,33
GO:0005789,73,64,27,53
GO:0005861,41,33,6,30
GO:0016272,37,30,15,18
GO:0009318,35,27,27,19
GO:0005956,34,40,24,30
GO:0005885,97,72,56,63
GO:0015629,75,51,46,46
GO:0009427,33,21,35,24
GO:0005887,34,26,32,23
GO:0033180,31,36,19,30
GO:0005576,96,107,75,81
GO:0009425,39,40,40,23
GO:0071203,49,40,29,34
GO:0005741,29,54,22,49
GO:0005681,57,40,15,45
GO:0030131,43,33,19,25
GO:0000172,25,10,4,8
GO:0030677,25,10,4,8
GO:0009279,42,14,35,24
GO:0031515,23,15,15,24
GO:0005685,22,32,7,14
GO:0005856,43,41,27,40
GO:0005581,36,40,8,24
GO:0000221,21,10,10,11
GO:0009507,23,14,8,15
GO:0030126,56,53,40,41
GO:0015627,20,13,20,17
GO:0072588,20,12,4,9
GO:0005850,18,14,18,19
GO:0042651,17,7,14,9
GO:0005730,18,25,10,15
GO:0009379,17,10,11,9
GO:0030130,16,13,6,24
GO:0030132,16,13,6,24
GO:0000796,14,17,9,14
GO:0005740,14,12,9,24
GO:0005849,14,8,3,3
GO:0032040,48,45,7,27
GO:0005743,25,29,17,24
GO:0005667,13,16,8,11
GO:0005787,24,16,11,10
GO:0005890,12,15,8,17
GO:0009346,11,7,11,13
GO:0005739,50,52,27,52
GO:0009424,11,13,17,13
GO:0005732,11,8,4,2
GO:0034457,11,8,4,2
GO:0005750,12,14,8,11
GO:0000151,11,9,8,14
GO:0009341,17,22,25,19
GO:0033573,10,4,13,7
GO:0030688,10,2,3,2
GO:0031207,10,6,1,4
GO:0005777,12,11,6,13
GO:0005618,23,185,29,23
GO:0030176,9,4,4,4
GO:0005801,9,13,7,5
GO:0008537,8,11,5,5
GO:0005663,8,1,4,2
GO:0034464,7,16,6,11
GO:0016593,11,25,8,19
GO:0000784,7,5,5,2
GO:0000502,7,10,8,6
GO:0000922,7,13,6,9
GO:0005815,9,18,6,9
GO:0030173,6,1,2,5
GO:0048786,6,4,0,5
GO:0017119,8,15,7,3
GO:0000228,10,8,6,3
GO:0001669,6,2,4,0
GO:0005669,10,8,1,6
GO:0000275,5,7,4,13
GO:0008250,8,22,9,16
GO:0000145,14,13,12,11
GO:0030077,7,1,12,11
GO:0042555,5,9,6,5
GO:0016592,21,19,6,17
GO:0005643,15,18,11,15
GO:0005786,10,10,4,8
GO:0000276,11,17,6,5
GO:0005794,10,8,2,9
GO:0005834,4,7,3,7
GO:0042765,8,12,4,8
GO:0012506,6,1,1,5
GO:0030700,4,2,4,0
GO:0009295,5,0,2,0
GO:0030076,4,6,2,9
GO:0005779,4,3,2,7
GO:0005578,5,5,1,13
GO:0005674,4,5,0,0
GO:0090544,3,2,1,1
GO:0005869,3,6,1,3
GO:0008023,3,1,0,1
GO:0000785,3,0,0,0
GO:0005795,3,3,6,8
GO:0005761,3,7,2,4
GO:0000808,3,4,0,1
GO:0005727,4,2,2,2
GO:0030141,3,4,0,5
GO:0005785,3,7,0,4
GO:0005672,7,6,5,6
GO:0005744,3,2,1,3
GO:0046930,2,0,1,0
GO:0032580,2,3,1,3
GO:0005758,2,4,2,5
GO:0005751,2,2,1,4
GO:0031083,2,2,0,2
GO:0030991,2,0,0,1
GO:0070176,2,1,0,1
GO:0005874,2,6,1,0
GO:0005763,2,1,0,1
GO:0019013,2,0,0,3
GO:0001726,2,8,0,4
GO:0005925,2,9,0,4
GO:0000439,6,3,2,9
GO:0005680,1,2,2,1
GO:0032039,1,3,0,3
GO:0031902,1,0,0,0
GO:0045121,1,0,0,0
GO:0071986,1,0,0,0
GO:0005759,1,3,0,2
GO:0005742,1,3,0,5
GO:0036038,1,11,0,5
GO:0000262,1,0,2,1
GO:0042613,1,0,1,0
GO:0000123,1,4,3,2
GO:0000775,1,1,0,2
GO:0033588,1,2,0,3
GO:0005665,1,3,2,1
GO:0044599,1,0,0,0
GO:0000124,1,0,0,1
GO:0000445,1,2,1,0
GO:0071595,1,1,0,3
GO:0033644,1,16,1,1
GO:0005813,0,3,0,0
GO:0055036,0,3,0,1
GO:0016533,0,2,2,2
GO:0016010,0,2,0,0
GO:0017053,0,3,0,2
GO:0043189,0,1,0,1
GO:0000178,0,1,1,2
GO:0030896,0,1,0,1
GO:0031305,0,1,0,0
GO:0000176,0,1,0,0
GO:0070461,0,1,0,0
GO:0016012,0,1,0,1
GO:1990879,0,0,2,0
GO:0072669,0,0,1,0
GO:0036128,0,0,1,0
GO:0031411,0,0,1,0
GO:0005819,0,0,1,0
GO:0000795,0,0,1,1
GO:0005639,0,0,0,3
GO:0009276,0,0,0,1
GO:0008076,0,0,0,1
GO:0001527,0,0,0,1
GO:0001518,0,0,0,1
GO:0005664,0,0,0,1
GO:0005666,0,0,0,1
GO:0005891,0,0,0,0
GO:0005788,0,0,0,0
GO:0005747,0,0,0,0
GO:1990316,0,0,0,0
GO:0000776,0,0,0,0
GO:0005868,0,0,0,0
GO:0071008,0,0,0,0
GO:0030133,0,0,0,0
GO:0000781,0,0,0,0
GO:0009898,0,0,0,0
